category_id,category_name
397,Walk-in Clinics
398,Counseling & Mental Health
399,Urgent Care
400,Motorcycle Dealers
401,Drugstores
402,Laser Eye Surgery/Lasik
403,Eyewear & Opticians
404,Airlines
405,Noodles
406,Life Coach
407,Career Counseling
408,Personal Shopping
409,Vacation Rentals
410,Bed & Breakfast
411,Farms
412,Fruits & Veggies
413,Attraction Farms
414,Pumpkin Patches
415,Christmas Trees
416,Libraries
417,Commercial Truck Repair
418,Pool & Hot Tub Service
419,Hot Tub & Pool
420,Pool Cleaners
421,Fitness/Exercise Equipment
422,Veterinarians
423,Cheese Shops
424,Makeup Artists
425,Real Estate Agents
426,Commercial Real Estate
427,Pharmacy
428,Vape Shops
429,Sailing
430,Boating
431,Paddleboarding
432,Rafting/Kayaking
433,Windshield Installation & Repair
434,Comfort Food
435,Departments of Motor Vehicles
436,Chocolatiers & Shops
437,African
438,Outdoor Gear
439,Pet Training
440,Flight Instruction
441,Tapas/Small Plates
442,Karaoke
443,Performing Arts
444,Dry Cleaning
445,Skate Shops
446,Water Purification Services
447,Rugs
448,Machine & Tool Rental
449,Horseback Riding
450,Candy Stores
451,Wildlife Control
452,Landscaping
453,Irrigation
454,Music Venues
455,Festivals
456,Brewpubs
457,Weight Loss Centers
458,Supernatural Readings
459,Spiritual Shop
460,Candle Stores
461,Religious Items
462,Kitchen Supplies
463,Coffee & Tea Supplies
464,Office Equipment
465,Home Staging
466,Parks
467,Dog Parks
468,Septic Services
469,Mortgage Brokers
470,Mortgage Lenders
471,Himalayan/Nepalese
472,Plastic Surgeons
473,Business Consulting
474,Countertop Installation
475,Fireplace Services
476,Window Washing
477,Home & Rental Insurance
478,Auto Insurance
479,Furniture Reupholstery
480,Furniture Repair
481,Turkish
482,Wine Tasting Room
483,Wineries
484,Preschools
485,Limos
486,Town Car Service
487,Airport Shuttles
488,Car Brokers
489,Landscape Architects
490,Lawn Services
491,Pawn Shops
492,Recycling Center
493,Video Game Stores
494,Bike Sharing
495,Wedding Planning
496,Bankruptcy Law
497,Lawyers
498,Security Systems
499,Private Tutors
500,Skating Rinks
501,Musical Instrument Services
502,Musical Instruments & Teachers
503,Irish Pub
504,Irish
505,Poke
506,Soul Food
507,Photography Stores & Services
508,Printing Services
509,Screen Printing
510,Embroidery & Crochet
511,Cards & Stationery
512,Special Education
513,Summer Camps
514,Doulas
515,Reiki
516,Hunting & Fishing Supplies
517,Fishing
518,Community Centers
519,Tai Chi
520,Races & Competitions
521,Tattoo
522,Shared Office Spaces
523,Guns & Ammo
524,Firearm Training
525,Gunsmith
526,Nail Technicians
527,Piercing
528,Siding
529,Gutter Services
530,Lebanese
531,Street Vendors
532,Mass Media
533,Radio Stations
534,Dermatologists
535,Swimming Lessons/Schools
536,Diving
537,Notaries
538,Solar Installation
539,Psychologists
540,Beer Tours
541,Framing
542,Lingerie
543,Fabric Stores
544,Urologists
545,Data Recovery
546,Computers
547,Firewood
548,Boat Tours
549,Wine Tours
550,Boat Charters
551,Office Cleaning
552,RV Dealers
553,Internet Cafes
554,Mailbox Centers
555,Kebab
556,Bowling
557,Party Supplies
558,RV Parks
559,Peruvian
560,Drama Schools
561,Formal Wear
562,Luggage
563,Water Delivery
564,Middle Schools & High Schools
565,Elementary Schools
566,Floral Designers
567,Car Stereo Installation
568,Hospice
569,Home Energy Auditors
570,Environmental Testing
571,Taiwanese
572,Guest Houses
573,Modern European
574,Russian
575,Telecommunications
576,Air Duct Cleaning
577,Advertising
578,Real Estate Photography
579,Video/Film Production
580,Videographers
581,Knitting Supplies
582,Hiking
583,Cooking Schools
584,Personal Chefs
585,Cooking Classes
586,Test Preparation
587,Food Safety Training
588,Clowns
589,Face Painting
590,Sports Clubs
591,Diagnostic Imaging
592,Swimming Pools
593,Reproductive Health Services
594,Outlet Stores
595,Macarons
596,Martial Arts
597,Smokehouse
598,Korean
