id,institution,degree,degree_type
6570,"Austin Community College","Computer Science","Computer Science"
3019,"Austin Preparatory School","2009 - 2016","2009 - 2016"
6095,"Australian Institute of Management",Certificate,"Finance for non finance managers"
5951,"Automation Anywhere University","Introducing Robotic Process Automation (RPA)","Computer/Information Technology Administration and Management"
5959,"Automation Anywhere University","IQ BOT Developer","IQ BOT Developer"
4134,"Award Solutions Certificate","5G RAN Signaling and Operations","5G RAN Signaling and Operations"
5726,Azure,"Microsoft Azure Fundamentals","Microsoft Azure Fundamentals"
4447,"B. M. S. College of Engineering","Bachelor of Engineering","Electronics and Communication"
4217,"B. M. S. College of Engineering","Bachelor of Engineering (B.E.)","Computer Science"
6726,"B. M. S. College of Engineering","Bachelor of Engineering (B.E.)","Telecommunications Engineering"
7291,"B. M. S. College of Engineering","Bachelor of Engineering (BE)","Bachelor of Engineering (BE)"
4602,"B. M. S. College of Engineering","Bachelor of Engineering (BE)","Computer Science"
6628,"B. M. S. College of Engineering","Bachelor of Engineering (BE)","Information Technology"
1455,"B.V.Bhoomaraddi College of Engineering and Technology","Bachelor of Engineering (B.E.)","Electronics & Communication"
2646,"Babaria Institute of Technology (BIT)","Bachelor of Engineering (B.E.)","Electronics and Communication"
2845,"Babson College","Cross-registered student","Cross-registered student"
3816,"Babson F.W. Olin Graduate School of Business","Master of Business Administration (MBA)","Entrepreneurship / Technology"
1207,"Babylon High School","Advanced Regents Diploma","Advanced Regents Diploma"
5092,"BAGALKOT JOBS","Bachelor Of Engineering","Electronics & Communications"
1843,"Bal Bharati Public School","1999 - 2011","1999 - 2011"
3581,"Bal Bharati Public School","High School",Science
1201,"Bal Niketan Secondary Model School, Chandigarh, India","Twelfth Grade in Central Board Of Secondary Education (CBSE)","Twelfth Grade in Central Board Of Secondary Education (CBSE)"
782,"Bangalore University","Bachelor of Engineering","Computer science"
7444,"Bangalore University","Bachelor of Engineering","Computer Science and Engineering"
4563,"Bangalore University","Bachelor of Engineering","Electronics & Communication"
7252,"Bangalore University","Bachelor of Engineering (BE)","Computer Science and Engineering"
6450,"Bangalore University","Bachelor of Engineering (BE)","Electronics and Communications Engineering"
5463,"Bangalore University",Bachelors,"Electrical and Electronics Engineering"
6024,"Bangalore University",BE,"Computer Science"
1672,"Bangkok Patana School","International Baccalaureate Diploma","International Baccalaureate Diploma"
4986,"Bangladesh University","Bachelor of Science (B.Sc.)","Computer Science and Engineering"
5020,"Bangladesh University of Engineering and Technology","Bachelor of Engineering (B.Eng.)","Computer Science and Engineering"
2745,"Bangladesh University of Engineering and Technology","Bachelor of Science - BS","Naval Architecture and Marine Engineering"
7031,"Bangladesh University of Engineering and Technology","Bachelor of Science (B.Sc.)","Computer Science and Engineering"
3683,"Bangladesh University of Engineering and Technology","Bachelor of Science (BS)","Electrical and Electronics Engineering"
3150,"Bangladesh University of Engineering and Technology","Bachelor’s Degree","Computer Science"
7268,"Bangladesh University of Engineering and Technology",BS,"Computer Science and Engineering"
120,"Baotou No.9 High School","2004 - 2007","2004 - 2007"
3130,"Bard College","Associate of Arts - AA","Associate of Arts - AA"
2768,"Bard College at Simon's Rock","Associate of Arts (AA)","Associate of Arts (AA)"
3131,"Bard High School Early College","Associate’s Degree","Liberal Arts and Sciences/Liberal Studies"
4858,"Barkatullah University, Bhopal","BE - Bachelor of Engineering (BS)","Computer Science"
4591,"Barnard College","Bachelor of Arts - BA","Computer Science"
2147,"Barnard College","Bachelor of Arts (B.A.)","Computer Science"
796,"Barnard College","Bachelor of Arts (BA)","Computer Science and Music"
66,"Barnard College","Bachelor's degree",Astrophysics
1640,"Barnard College","Bachelor's degree","Computer Science"
941,"Barnard College","Bachelor's degree","Musicology and Ethnomusicology"
791,"Barnard College","Bachelor’s Degree","Computer Science"
5839,"Baruch College","Actuarial Science","Actuarial Science"
6191,"Baruch College",BA,Economics
821,"Baruch College","Bachelor of Arts","English Literature / Spanish & Italian Languages"
1130,"Baruch College","Bachelor of Arts - BA","Political Science and Government"
1094,"Baruch College","Bachelor of Arts (B.A.)","Business/Corporate Communications"
21,"Baruch College","Bachelor of Arts (B.A.)","Minor: Psychology and Japanese"
56,"Baruch College","Bachelor of Business Administration","Finance and Investments"
1118,"Baruch College","Bachelor of Business Administration - BBA",Accounting
604,"Baruch College","Bachelor of Business Administration - BBA","Computer Information System"
5898,"Baruch College","Bachelor of Business Administration - BBA","Computer Information Systems: Data Analytics"
61,"Baruch College","Bachelor of Business Administration - BBA",General
678,"Baruch College","Bachelor of Business Administration (B.B.A.)","Accounting and Finance"
1949,"Baruch College","Bachelor's degree",Mathematics
2631,"Baruch College","C++ Certificate for Financial Engineering","C++ Certificate for Financial Engineering"
1332,"Baruch College","Coding and Web Development","Coding and Web Development"
1656,"Baruch College","Computer and Information Sciences",General
1832,"Baruch College",Economics,Economics
5594,"Baruch College","Executive MSc","Marketing and Advertising"
14,"Baruch College","Master of Business Administration - MBA","Master of Business Administration - MBA"
1583,"Baruch College","Master of Business Administration (MBA)",General
603,"Baruch College","Master of Science - MS","Information Systems"
1117,"Baruch College","Master's degree",Taxation
4706,"Baruch College",MBA,"Computer Information Systems"
5793,"Baruch College",MSC,finance
2001,"Baruch College","Online Certificate","C++ for Financial Engineering"
5405,"Basaveshwara Engineering College, Bagalkot",B.E,"Computer Science & Engineering"
3678,"BASIS Independent Silicon Valley","2015 - 2017","2015 - 2017"
3688,"BASIS Independent Silicon Valley","2015 - 2018","2015 - 2018"
6907,"Baskin Engineering at UCSC","Bachelor of Arts - BA","Computer Science"
4844,"Bates College","Bachelor of Arts (B.A.)","Political Science - Comparative Politics"
292,"Bates College","Bachelor of Science (B.S.)","Major in Economics and Minors in Mathematics & Physics"
3366,"Battle Ground","1994 - 1997","1994 - 1997"
6984,"Bauman Moscow State Technical University","Master’s Degree","Management Information Systems and Services"
6559,"Baylor University","Bachelor of Business Administration - BBA","Computer and Information Sciences and Support Services"
6564,"Baylor University - Hankamer School of Business","Bachelor of Business Administration (B.B.A.)","Entrepreneurship and Computer Info Sys"
6557,"Baylor University - Hankamer School of Business",BBA,MIS
1248,"Bayside High School","High School Degree; Associates","Computer Information Systems"
1605,"Bayside High School","Highchool Diploma","Highchool Diploma"
1989,"Bayside High School","Regents High School Diploma","General Studies/Math and Science"
1563,"Bedford Academy High School","Advanced Regents Diploma","Advanced Regents Diploma"
2589,"Beihang University",B.S.,Mathematic
2105,"Beihang University",bachelor,"computer science and technology"
2409,"Beihang University","Bachelor of Engineering (BE)","Computer Science"
7176,"Beihang University","Bachelor of Engineering (BEng)","Electrical and Electronics Engineering"
1980,"Beihang University","Bachelor of Science (B.S.)","Computer Science and Electrical Engineering"
19,"Beihang University","Bachelor's Degree","Applied Science"
5317,"Beihang University","Bachelor's degree","Computer Science"
3565,"Beihang University","Bachelor's degree","Computer Science and Technology"
2448,"Beihang University","Bachelor's degree","Electronic Information Engineering"
2052,"Beihang University",Bachelors,"Software Engineering"
7229,"Beiijing Xicheng Foriegn Language School","High School","High School"
5924,"Beijing Institute of Technology",B.S,"Electrical Engineering"
2593,"Beijing Institute of Technology","Bachelor of Engineering (B.E.)","Computer Science"
252,"Beijing Institute of Technology","Bachelor of Science","Electronics Engineering"
2567,"Beijing Institute of Technology","Bachelor's degree","Electronics Engineering"
2591,"Beijing Institute of Technology","Master of Science - MS","computer science"
2976,"Beijing International French School (LFIP)","High School","Oriental language programmes"
7126,"Beijing Normal University","Bachelor of Science - BS","Electronic Information Science and Technology"
3806,"Beijing Union University","Bachelor of Science (BS)",Economics
2773,"Beijing University of Posts and Telecommunications",Bachelor,"Computer Science"
4608,"Beijing University of Posts and Telecommunications","Bachelor of Engineering - BE","Telecommunications Engineering"
5848,"Beijing University of Posts and Telecommunications","Bachelor of Engineering (B.E.)","Computer Science"
2289,"Beijing University of Posts and Telecommunications","Bachelor of Engineering (B.E.)","Electronic Information Engineering"
2535,"Beijing University of Posts and Telecommunications","Bachelor of Engineering (B.Eng.)","Electronics and Communications Engineering"
4993,"Beijing University of Posts and Telecommunications","Bachelor of Science - BS","Bachelor of Science - BS"
3653,"Beijing University of Posts and Telecommunications","Bachelor of Science (BS)","Computer Science"
4704,"Beijing University of Posts and Telecommunications","Bachelor of Science (BS)","Electrical and Electronics Engineering"
2338,"Beijing University of Posts and Telecommunications","Bachelor of Science (BS)","Telecommunications Engineering"
2428,"Beijing University of Posts and Telecommunications","Bachelor's degree","Bachelor's degree"
7458,"Beijing University of Posts and Telecommunications","Bachelor's degree","Telecommunications Engineering"
2219,"Beijing University of Posts and Telecommunications","Bachelor's degree","Telecommunications Engineering with Management"
7228,"Beijing University of Posts and Telecommunications","Bachelor’s Degree","Telecommunications Engineering"
2375,"Beijing University of Posts and Telecommunications",BS,"Information Engineering"
3652,"Beijing University of Posts and Telecommunications","Master of Science (MS)","Computer Science"
503,"Beijing University of Technology","Bachelor of Science","Software Engineering"
4770,"Beijing University of Technology","Bachelor's degree","Computer Science"
4427,"Beijing University of Technology",MS,"Computer Science"
3796,"Beijing World Youth Academy","High School ","High School "
28,"Beis Yosef Yeshiva of Brooklyn ","Talmudic Studies","Talmudic Studies"
3601,"Belarusian State University","Bachelor of Engineering - BE",Engineering
1373,"Belarusian State University",Master,Economics
1372,"Belarusian State University",Master,"Radio Physics"
6136,"Belen Jesuit Preparatory School","2014 - 2015","2014 - 2015"
2043,"Belen Jesuit Preparatory School","Middle School & High School","Middle School & High School"
3490,"Bellarmine College Preparatory","High School",CA
4453,"Bellevue College","Bachelor’s Degree","Data Analytics"
3787,"Bellevue College",Degree,"C# Programming Certificate"
4240,"Bellevue College","General Studies","General Studies"
4391,"Bellevue College","Introduction to Business Intelligence","Introduction to Business Intelligence"
4504,"Bellevue College","Microsoft Certified Database Administrator (MCDBA) Program","Microsoft Certified Database Administrator (MCDBA) Program"
4282,"Bellevue College","PROG 296 Special Topics in Programming: Server-Side Using ASP.NET & C#","PROG 296 Special Topics in Programming: Server-Side Using ASP.NET & C#"
4345,"Bellevue College","Technical Writing Certificate","and Scientific Writing"
4324,"Bellevue College Continuing Education",SDET,SDET
4328,"Bellevue College Continuing Education",STE,STE
3235,"Belmont High School ",,
2366,"Ben Davis High School","2010 - 2014","2010 - 2014"
1570,"Benjamin Banneker Academy","High School","High School"
1882,"Benjamin Franklin High School",,
561,"Berea College","Bachelor of Arts (B.A.)","Computer Science"
5140,"Bergen Community College","AAS in Network Administration/Business Technology",Engineering
1153,"Bergen Community College","Associates in Applied Science","Network Administration"
5142,"Bergen Community College","Computer Technician/Help Desk Support Certificate","Information Technology"
6505,"Bergen Community College","General Studies","General Studies"
16,"Bergen County Academies","2009 - 2013","2009 - 2013"
1945,"Bergen County Academies","High School","High School"
467,"Bergen County Academies - Academy for Business and Finance IB","High School","Business and Finance"
998,"Bergen County Technical High School - Teterboro","Computer Science","Computer Science"
67,"Berkeley Carroll School","1988 - 2002","1988 - 2002"
4000,"Berkeley High School","1983 - 1987","1983 - 1987"
1063,"Berklee College of Music","Bachelor's of Music Degree","Jazz Composition and Performance"
6511,"Berklee College of Music, Boston MA","Music Composition and Arranging ","Music Composition and Arranging "
908,"Bernards High School",,
5372,"Bethel High School","2015 - 2016","2015 - 2016"
2198,"Bethune-Cookman University","Bachelor of Science (BS)","Computer Engineering"
4010,"Bharathiar University","Bachelor of Engineering (B.E.)","Mechanical Engineering"
6425,"Bharathidasan University",B.Sc,Mathematics
5149,"Bharathidasan University","Bachelor of Science (B.Sc.)","Computer Science"
5148,"Bharathidasan University","Master of Science (M.Sc.)","Computer Science"
6426,"Bharathidasan University",PGDCA,"Computer Applications"
4528,"Bharathidasan University, India","Bachelor of Engineering (B.E.)","Computer Science"
6646,"Bharathidasan University, Tiruchirappalli",Bachelors,Electronics
6645,"Bharathidasan University, Tiruchirappalli","Master of Computer Applications - MCA",Computer
3685,"Bharathidasan University, Tiruchirappalli","Master of Computer Applications - MCA","Computer Science"
2439,"Bharati Vidyapeeth","Bachelor of Technology (B.Tech.)","Computer Science"
7391,"Bhavan's Gangabux Kanoria Vidyamandir","Computer Science","Computer Science"
5430,"Bhopal Engineering College , now UIT - RGPV.","B.E ( Bachelor of Engineering )","Computer Science"
6799,"Big Nerd Ranch","Advanced iOS Development","Advanced iOS Bootcamp"
5456,"Bilge Adam","Microsoft Certified Solution Developer - MCSD","Microsoft Certified Solution Developer - MCSD"
4431,"Bilkent University","Bachelor of Science (B.Sc.)","Computer Enginering and Information Science"
5073,"Bilkent University",BS,"Computer Science"
363,"Binghamton University",BA,English
1075,"Binghamton University",BA,"Studio Art & Design"
818,"Binghamton University","Bachelor of Science - BS","Computer Engineering"
787,"Binghamton University","Bachelor of Science (B.S.)","Business Administration"
1623,"Binghamton University","Bachelor of Science (B.S.)","Computer Science"
2597,"Binghamton University","Bachelor of Science (BS)","Computer Science"
1157,"Binghamton University","Bachelor of Science (BS)","Systems Science and Industrial Engineering"
2250,"Binghamton University","Bachelor's degree","Computer Science"
1186,"Binghamton University","Bachelor's Degree","Mathematics and Computer Science"
1309,"Binghamton University","Bachelor's degree","Philosophy and Law"
51,"Binghamton University","Bachelor’s Degree","Computer Engineering"
178,"Binghamton University","Bachelor’s Degree","Computer Science"
741,"Binghamton University","Bachelor’s Degree","Financial Economics"
556,"Binghamton University","Bachelor’s Degree",Mathematics
5913,"Binghamton University",Bachelors,"Computer Science"
4962,"Binghamton University",BS,"Computer Science"
601,"Binghamton University","China Study Abroad","Community and Regional Planning"
1697,"Binghamton University","Computer Science","Computer Science"
825,"Binghamton University","Geography: Urban & Regional Planning","Geographic Information Science and Cartography"
6068,"Binghamton University",M.S,"Computer Science"
5888,"Binghamton University","Master of Computer Science","Computer Science"
2652,"Binghamton University","Master of Engineering - MEng","Computer Science"
5042,"Binghamton University","Master of Science","Computer Science"
817,"Binghamton University","Master of Science - MS","Computer Engineering"
5869,"Binghamton University","Master of Science - MS","Computer Science"
6275,"Binghamton University","Master of Science (M.S.)","Computer Science"
5815,"Binghamton University","Master of Science (MS)","Computer Science"
2749,"Binghamton University","Master of Science (Ph.D quit)","Computer Science"
1711,"Binghamton University","Master’s Degree","Computer Science"
2066,"Binghamton University","Master’s Degree","Comuter Science"
1227,"Binghamton University","Master’s Degree","Electrical Engineering"
5235,"Binghamton University",MS,"Computer Science"
5186,"Binghamton University",MS,"Electrical Engineering"
1076,"Binghamton University School of Management",MBA,Marketing
6213,"Binghamton University School of Management","Pursued a Bachelor of Science (B.S.)",MIS
439,"Binghamton University, State University of New York","Bachelor's Degree","Bachelor's Degree"
4466,"Biola University",BS,"Computer Science with an emphasis in Information Systems and a minor in Bible"
7303,"BIONIC University","Computer Software Engineering","Computer Software Engineering"
6363,"Bircham International University","Bachelor's degree","Business Administration"
2541,"Birla Institute of Technology and Science, Pilani","B.E (Hons.)","Computer Science"
5827,"Birla Institute of Technology and Science, Pilani","B.E (Hons)","Computer Science"
5423,"Birla Institute of Technology and Science, Pilani","B.E. Hons. Computer Science","Computer Science"
3353,"Birla Institute of Technology and Science, Pilani",B.E.(Hons),"Electronics and Instrumentation"
7198,"Birla Institute of Technology and Science, Pilani","Bachelor of Engineering - BE","Computer Science"
2002,"Birla Institute of Technology and Science, Pilani","Bachelor of Engineering (B.E.)","Civil Engineering"
4923,"Birla Institute of Technology and Science, Pilani","Bachelor of Engineering (B.E.)","Computer Science"
6946,"Birla Institute of Technology and Science, Pilani","Bachelor of Engineering (B.E.)","Electronics and Instrumentation Engineering"
7174,"Birla Institute of Technology and Science, Pilani","Bachelor of Engineering (BE)","Computer Science"
3164,"Birla Institute of Technology and Science, Pilani","Bachelor of Science (B.S.)","Mechanical Engineering"
5934,"Birla Institute of Technology and Science, Pilani","BE (Hons.)","Computer Science"
7098,"Birla Institute of Technology and Science, Pilani",BS,CS
