id,skill,category
591,"Access Control","Industry Knowledge"
4878,"Access Database","Tools & Technologies"
266,Accessibility,"Other Skills"
1494,Accompaniment,"Other Skills"
470,"Account Management","Industry Knowledge"
5248,"Account Planning","Other Skills"
1500,"Account Reconciliation","Industry Knowledge"
3997,Accountability,"Interpersonal Skills"
225,Accounting,"Industry Knowledge"
1175,"Accounts Payable","Industry Knowledge"
1411,"Accounts Payable & Receivable","Other Skills"
2584,"Accounts Receivable","Industry Knowledge"
5990,AccuMap,"Other Skills"
3857,AccuRev,"Other Skills"
5963,ACH,"Other Skills"
2606,"Acoustic Guitar","Other Skills"
4392,"Acoustic Measurement","Other Skills"
6077,"Acquisition Integration","Industry Knowledge"
3156,"Acrylic Painting","Other Skills"
3520,Actimize,"Other Skills"
1349,Acting,"Interpersonal Skills"
1986,ActionScript,"Tools & Technologies"
4803,"ActionScript 2.0","Tools & Technologies"
4804,"ActionScript 3.0","Tools & Technologies"
847,"Active Directory","Tools & Technologies"
4773,"Active Directory Experience","Other Skills"
5285,"Active Directory Management","Tools & Technologies"
2089,"Active DoD Secret Clearance","Other Skills"
2344,"Active Learning","Other Skills"
4377,"Active Listening","Interpersonal Skills"
1557,"Active Server Pages (ASP)","Tools & Technologies"
2725,ActiveMQ,"Other Skills"
1267,ActiveRecord,"Other Skills"
1969,ActiveSync,"Other Skills"
2240,Activism,"Other Skills"
5843,Activiti,"Other Skills"
5230,Actuarial,"Industry Knowledge"
5188,"Ad Hoc Networks","Other Skills"
5477,"Ad Networks","Other Skills"
5865,"Ad Serving","Other Skills"
3627,"Ad Tech","Other Skills"
3814,"Ada programming","Other Skills"
5825,"Adaptive Design","Other Skills"
4862,"Adaptive Streaming","Other Skills"
5607,ADAS,"Tools & Technologies"
6177,ADCS,"Other Skills"
6037,ADDIE,"Other Skills"
2044,"Additive Manufacturing","Industry Knowledge"
5147,ADF,"Other Skills"
4177,ADFS,"Other Skills"
1228,"ADFS 2.0","Other Skills"
5743,"Administração de Salesforce.com","Other Skills"
2097,"Administración y dirección de empresas","Industry Knowledge"
4767,Administration,"Industry Knowledge"
902,"Administrative Assistance","Industry Knowledge"
274,"Administrative Assistants","Industry Knowledge"
4001,"Administrative Organization","Other Skills"
5375,ADO,"Other Skills"
817,ADO.NET,"Tools & Technologies"
803,"Adobe Acrobat","Tools & Technologies"
840,"Adobe After Effects","Tools & Technologies"
2449,"Adobe AIR","Other Skills"
5459,"Adobe Analytics","Tools & Technologies"
1344,"Adobe Animate","Other Skills"
1245,"Adobe Audition","Tools & Technologies"
1250,"Adobe Bridge","Other Skills"
479,"Adobe Creative Cloud","Other Skills"
476,"Adobe Creative Suite","Tools & Technologies"
711,"Adobe Design Programs","Tools & Technologies"
5200,"Adobe Dreamweaver CS6","Tools & Technologies"
2512,"Adobe Experience Design","Tools & Technologies"
5502,"Adobe Experience Manager","Tools & Technologies"
2492,"Adobe Experience Manager (AEM)","Tools & Technologies"
3699,"Adobe Fireworks","Tools & Technologies"
1825,"Adobe Flash","Tools & Technologies"
491,"Adobe Illustrator","Tools & Technologies"
492,"Adobe InDesign","Tools & Technologies"
1432,"Adobe Indesign CC","Tools & Technologies"
490,"Adobe Lightroom","Tools & Technologies"
1852,"Adobe LiveCycle Designer","Tools & Technologies"
3386,"Adobe Muse","Other Skills"
101,"Adobe Photoshop","Tools & Technologies"
2785,"Adobe Photoshop CS5","Tools & Technologies"
489,"Adobe Premiere Pro","Tools & Technologies"
4282,"Adobe Presenter","Other Skills"
3909,"Adobe Test&Target","Other Skills"
1959,"Adobe XD","Tools & Technologies"
3877,Adsense,"Other Skills"
2950,Adtran,"Other Skills"
2907,"Advance java","Tools & Technologies"
5616,"Advanced Analytics","Industry Knowledge"
4320,"Advanced CSS","Tools & Technologies"
3206,"Advanced Excel","Tools & Technologies"
1841,"Advanced Java","Tools & Technologies"
5991,"Advent Axys","Other Skills"
2212,"Adventure Travel","Industry Knowledge"
772,Advertising,"Industry Knowledge"
5434,"Advisory Boards","Other Skills"
6098,AEC,"Other Skills"
2516,AED,"Tools & Technologies"
6112,"Aerial Photography","Other Skills"
6410,Aerodynamics,"Other Skills"
1289,Aerospace,"Industry Knowledge"
2529,"Affiliate Management","Other Skills"
1192,"After Effects","Tools & Technologies"
812,Agile,"Industry Knowledge"
3091,"Agile ","Industry Knowledge"
1475,"Agile & Waterfall Methodologies","Industry Knowledge"
794,"Agile Application Development","Other Skills"
4961,"Agile Coach","Industry Knowledge"
4344,"Agile Development","Industry Knowledge"
789,"Agile Environment","Industry Knowledge"
5662,"Agile Leadership","Other Skills"
4792,"Agile Methodolgy","Industry Knowledge"
219,"Agile Methodologies","Industry Knowledge"
298,"Agile Project Management","Industry Knowledge"
5813,"Agile Software Development","Industry Knowledge"
705,"Agile Testing","Industry Knowledge"
597,"Agile Web Development","Other Skills"
1938,Agile/Scrum,"Industry Knowledge"
4272,Agilidad,"Other Skills"
3866,Agility,"Other Skills"
4524,AI,"Industry Knowledge"
5943,AIF,"Other Skills"
5240,AIML,"Other Skills"
3967,"Air Conditioning","Industry Knowledge"
3730,Aircraft,"Other Skills"
2426,Airflow,"Other Skills"
1802,Airtable,"Tools & Technologies"
4500,AIX,"Tools & Technologies"
70,AJAX,"Tools & Technologies"
6163,"AJAX Frameworks","Other Skills"
1150,"AJAX Toolkit","Other Skills"
5652,Akamai,"Tools & Technologies"
689,Akka,"Other Skills"
690,Akka.net,"Other Skills"
3188,AKS,"Tools & Technologies"
2795,Algebra,"Other Skills"
3369,"Algorithm Analysis","Other Skills"
112,"Algorithm Design","Other Skills"
6398,"Algorithm Development","Other Skills"
5040,Algorithmen,"Industry Knowledge"
4615,"Algorithmic Trading","Other Skills"
130,Algorithms,"Industry Knowledge"
3637,Algoritmo,"Industry Knowledge"
2958,ALM,"Other Skills"
3135,"Altera Quartus","Tools & Technologies"
5821,"Alternative Investments","Industry Knowledge"
1023,Alteryx,"Other Skills"
3655,"Alteryx BI + Visualization Solutions","Industry Knowledge"
2873,Altiris,"Other Skills"
2965,"Altiris Deployment Console","Other Skills"
1574,Altium,"Other Skills"
2664,"Altium Designer","Other Skills"
1864,ALV,"Other Skills"
4051,Amadeus,"Tools & Technologies"
4802,"Amateur Radio","Other Skills"
4593,"Amazon Athena","Tools & Technologies"
5347,"Amazon Aurora","Tools & Technologies"
1612,"Amazon Dynamodb","Other Skills"
5086,"Amazon EBS","Other Skills"
598,"Amazon EC2","Other Skills"
3332,"Amazon EKS","Tools & Technologies"
5345,"Amazon Elastic MapReduce (EMR)","Tools & Technologies"
3626,"Amazon Kinesis","Tools & Technologies"
3448,"Amazon Mechanical Turk","Other Skills"
4240,"Amazon RDS","Tools & Technologies"
1217,"Amazon Redshift","Other Skills"
5168,"Amazon Relational Database Service (RDS)","Tools & Technologies"
1653,"Amazon S3","Tools & Technologies"
3628,"Amazon SQS","Other Skills"
3844,"Amazon VPC","Other Skills"
944,"Amazon Web Services","Tools & Technologies"
109,"Amazon Web Services (AWS)","Tools & Technologies"
2596,AML,"Industry Knowledge"
3287,AMPL,"Other Skills"
2686,Amplifiers,"Other Skills"
3713,Anaconda,"Tools & Technologies"
2589,Analitical,"Other Skills"
2682,"Analog Circuit Design","Industry Knowledge"
3161,"Analog Circuits","Other Skills"
1603,"Analog Photography","Other Skills"
978,Analysis,"Industry Knowledge"
566,"Analytic Problem Solving","Other Skills"
3758,"Analytic Thinking","Industry Knowledge"
3032,"Analytical Capability","Other Skills"
1561,"Analytical Chemistry","Industry Knowledge"
4576,"Analytical Reasoning","Other Skills"
399,"Analytical Skills","Industry Knowledge"
2876,"Analytical Writing","Other Skills"
232,Analytics,"Industry Knowledge"
444,Android,"Tools & Technologies"
3349,"Android App Development","Industry Knowledge"
5530,"android applications","Tools & Technologies"
5254,"Android Broadcast Receiver","Tools & Technologies"
2186,"Android Design","Other Skills"
37,"Android Development","Industry Knowledge"
2761,"Android NDK","Tools & Technologies"
5614,"Android Programming","Industry Knowledge"
579,"Android SDK","Tools & Technologies"
565,"Android Studio","Other Skills"
2184,"Android Support","Other Skills"
2185,"Android Testing","Other Skills"
4555,"Angel Investing","Other Skills"
355,angular,"Tools & Technologies"
5487,"Angular ","Tools & Technologies"
3842,"Angular 2","Tools & Technologies"
5804,"Angular 2.0","Tools & Technologies"
6102,"Angular 2+","Tools & Technologies"
3767,"Angular 4","Tools & Technologies"
4310,"Angular 5","Tools & Technologies"
6400,"Angular 6","Tools & Technologies"
3127,"Angular 7","Tools & Technologies"
2827,"Angular Command Line Interface (CLI)","Tools & Technologies"
5292,"Angular JS","Tools & Technologies"
3777,"Angular Material","Tools & Technologies"
1018,Angular.js,"Tools & Technologies"
3212,Angular2,"Tools & Technologies"
4618,angular7,"Tools & Technologies"
108,AngularJS,"Tools & Technologies"
6474,AngularJs2,"Tools & Technologies"
1296,Animation,"Industry Knowledge"
4952,ANOVA,"Other Skills"
1664,"ANSI C","Other Skills"
928,Ansible,"Tools & Technologies"
3340,ANSYS,"Tools & Technologies"
792,Ant,"Tools & Technologies"
6025,"Ant Design","Tools & Technologies"
6352,"Antenna Measurements","Other Skills"
6353,Antennas,"Other Skills"
5916,"Anti Money Laundering","Industry Knowledge"
5358,Anticipation,"Other Skills"
2295,Antivirus,"Tools & Technologies"
2176,ANTLR,"Other Skills"
829,AOP,"Other Skills"
1511,"AP Calculus","Other Skills"
1794,"AP Style","Industry Knowledge"
642,Apache,"Tools & Technologies"
5956,"Apache 2","Tools & Technologies"
3099,"Apache Airflow","Tools & Technologies"
793,"Apache Ant","Tools & Technologies"
4469,"Apache Beam","Tools & Technologies"
2231,"Apache Camel","Other Skills"
1285,"Apache Cordova","Other Skills"
2164,"Apache Drill","Tools & Technologies"
6338,"Apache Druid","Tools & Technologies"
3285,"Apache Flink","Tools & Technologies"
2841,"Apache hadoop","Tools & Technologies"
5964,"Apache HBase","Tools & Technologies"
5089,"Apache Hive","Other Skills"
3077,"Apache Impala","Tools & Technologies"
3428,"Apache Ivy","Other Skills"
246,"Apache Kafka","Other Skills"
5265,"Apache Mesos","Other Skills"
4929,"Apache NiFi","Tools & Technologies"
3391,"Apache Oozie","Tools & Technologies"
6429,"Apache Phoenix","Tools & Technologies"
468,"Apache Pig","Other Skills"
6346,"apache POI","Other Skills"
3606,"Apache Sling","Tools & Technologies"
2130,"Apache Solr","Other Skills"
251,"Apache Spark","Other Skills"
4440,"Apache Spark Streaming","Tools & Technologies"
5159,"Apache Sqoop","Tools & Technologies"
3366,"Apache Storm","Other Skills"
3483,"Apache Tez","Tools & Technologies"
3480,"Apache Thrift","Tools & Technologies"
3987,"Apache Tiles","Other Skills"
6345,"Apache Velocity","Other Skills"
3689,"Apache Webserver","Tools & Technologies"
375,"Apache ZooKeeper","Other Skills"
3693,Apex,"Other Skills"
904,"Apex Programming","Other Skills"
391,API,"Other Skills"
3320,"API Design","Other Skills"
261,"API Development","Other Skills"
3851,"API Integration","Other Skills"
3867,"API Management","Tools & Technologies"
1945,"API Testing","Other Skills"
2361,"Apigee API Management","Tools & Technologies"
638,APIs,"Other Skills"
4256,"Aplicaciones Web","Industry Knowledge"
605,Apollo,"Other Skills"
575,"Apollo GraphQL","Tools & Technologies"
3318,"App Design","Other Skills"
2040,"App Store Optimization","Other Skills"
5022,App-V,"Other Skills"
1104,Apparel,"Industry Knowledge"
5393,Appeals,"Industry Knowledge"
2756,Appium,"Other Skills"
2056,"Apple Certified","Other Skills"
2061,"Apple Certified Technician","Other Skills"
3815,"Apple Developer","Other Skills"
5748,"Apple OS","Tools & Technologies"
4038,"Apple Remote Desktop","Other Skills"
1952,"Apple Safari","Other Skills"
1251,"Apple Software","Other Skills"
5827,"Apple Watch","Other Skills"
3418,AppleScript,"Other Skills"
4119,"Applicant Tracking Systems","Tools & Technologies"
823,"Application Architecture","Other Skills"
923,"Application Development","Industry Knowledge"
3512,"Application Engineering","Industry Knowledge"
2223,"Application Frameworks","Other Skills"
4925,"Application Lifecycle Management","Other Skills"
2255,"Application Management","Industry Knowledge"
5383,"Application Packaging","Other Skills"
6289,"Application Performance Management","Other Skills"
260,"Application Programming Interfaces","Other Skills"
1364,"Application Security","Other Skills"
6447,"Application Servers","Other Skills"
3899,"Application Support","Other Skills"
4162,"Application Virtualization","Other Skills"
6058,"Applications Development Management","Other Skills"
5941,"Applications Support","Industry Knowledge"
2731,"Applied Machine Learning","Other Skills"
1902,"Applied Mathematics","Other Skills"
4404,"Applied Research","Other Skills"
6245,"Appointment Scheduling","Industry Knowledge"
5575,"Aprendizado de máquina","Industry Knowledge"
4293,"Aprendizaje electrónico","Industry Knowledge"
2002,AR,"Industry Knowledge"
3113,Arabic,Languages
4823,ArcCatalog,"Other Skills"
1166,ArcGIS,"Tools & Technologies"
3344,"ArcGIS Engine","Other Skills"
4817,"ArcGIS Online","Tools & Technologies"
4819,"ARCGIS Pro","Tools & Technologies"
3959,"ArcGIS Products","Tools & Technologies"
4820,"ArcGIS Server","Other Skills"
5983,"Arch Linux","Other Skills"
3818,"Architectural Design","Industry Knowledge"
2782,"Architectural Drafting","Industry Knowledge"
2604,"Architectural Drawings","Industry Knowledge"
2408,"Architectural Modeling","Other Skills"
336,Architecture,"Industry Knowledge"
5901,"Architecture Frameworks","Other Skills"
1701,Architectures,"Industry Knowledge"
3240,archiva,"Other Skills"
1547,"Archival Management","Other Skills"
1546,"Archival Processing","Other Skills"
271,Archives,"Industry Knowledge"
4822,ArcInfo,"Other Skills"
2114,ArcMap,"Other Skills"
6109,ArcObjects,"Other Skills"
6111,ArcView,"Other Skills"
401,Arduino,"Tools & Technologies"
2729,"Arduino IDE","Tools & Technologies"
2934,"Arena Simulation Software","Other Skills"
4007,ARIA,"Other Skills"
3485,ARM,"Industry Knowledge"
1777,"ARM Architecture","Industry Knowledge"
1783,"ARM Assembly","Other Skills"
1576,"ARM Cortex-M","Other Skills"
1360,Armitage,"Tools & Technologies"
5969,Army,"Industry Knowledge"
5740,"Arquitetura de Software","Industry Knowledge"
1495,Arranging,"Other Skills"
1134,Art,"Industry Knowledge"
2001,"Art Direction","Industry Knowledge"
501,"Art History","Industry Knowledge"
5110,"Article Writing","Other Skills"
6039,"Articulate Storyline","Other Skills"
3608,Articulation,"Other Skills"
1548,"Artifact Analysis","Other Skills"
524,"Artificial Intelligence","Industry Knowledge"
351,"Artificial Intelligence (AI)","Industry Knowledge"
3155,"Artificial Neural Networks","Other Skills"
2326,Asana,"Tools & Technologies"
4385,"Asian Studies","Other Skills"
3740,ASIC,"Industry Knowledge"
2863,ASME,"Industry Knowledge"
4271,"Asociado certificado en gestión de proyectos","Other Skills"
634,ASP,"Tools & Technologies"
387,ASP.NET,"Tools & Technologies"
819,"ASP.NET AJAX","Tools & Technologies"
354,"ASP.NET Core","Tools & Technologies"
814,"ASP.NET MVC","Tools & Technologies"
5994,"ASP.NET MVC 5","Tools & Technologies"
673,"ASP.NET Web API","Other Skills"
5872,"ASP.NET WebAPI","Other Skills"
3647,"Aspect-Oriented Programming","Other Skills"
4550,AspectJ,"Other Skills"
6076,ASPX,"Other Skills"
4870,Assembler,"Other Skills"
170,"Assembly Language","Tools & Technologies"
6071,"Asset Allocation","Industry Knowledge"
2181,"Asset Management","Industry Knowledge"
5791,"Asset Protection","Industry Knowledge"
4040,"Assistant Teaching","Other Skills"
4353,Async,"Other Skills"
1463,"At Multitasking","Interpersonal Skills"
6169,ATDD,"Other Skills"
5906,ATL,"Other Skills"
2117,Atlas.ti,"Other Skills"
1974,Atlassian,"Other Skills"
2464,"Atlassian JIRA","Tools & Technologies"
930,"Atlassian Suite","Other Skills"
1584,ATMega,"Other Skills"
4460,"Atmel AVR","Other Skills"
874,Atom,"Other Skills"
6517,ATPG,"Other Skills"
1107,"Attention To Detail","Other Skills"
1538,Audacity,"Other Skills"
1326,"Audio Editing","Industry Knowledge"
1035,"Audio Engineering","Industry Knowledge"
5984,"Audio Equipment","Other Skills"
1445,"Audio Post Production","Industry Knowledge"
4913,"Audio Processing","Other Skills"
1417,"Audio Programming","Other Skills"
1444,"Audio Recording","Industry Knowledge"
3848,"Audio Visual (AV) Systems","Tools & Technologies"
5119,"Audio Visual Support","Other Skills"
1312,Auditing,"Industry Knowledge"
1960,"Augmented Reality","Other Skills"
1184,"Augmented Reality (AR)","Other Skills"
1135,Aurelia,"Tools & Technologies"
1269,Authentication,"Other Skills"
5648,Author-it,"Other Skills"
2641,"Auto Cad","Tools & Technologies"
301,AutoCAD,"Tools & Technologies"
2931,"AutoCAD ","Tools & Technologies"
2784,"AutoCAD 2010","Tools & Technologies"
3028,"AutoCAD Civil 3D","Tools & Technologies"
6044,"AutoCAD Electrical","Tools & Technologies"
4198,"Autodesk 3ds Max","Tools & Technologies"
3958,"Autodesk Civil 3D","Tools & Technologies"
2227,"Autodesk Fusion 360","Tools & Technologies"
6385,"Autodesk Fusion360","Tools & Technologies"
26,"Autodesk Inventor","Tools & Technologies"
3282,"Autodesk MAYA","Tools & Technologies"
398,"Autodesk Software","Other Skills"
5881,"Autodesk Tinkercad","Other Skills"
6297,Autofac,"Other Skills"
2919,AutoHotKey,"Other Skills"
393,AutoIt,"Other Skills"
5578,Automação,"Industry Knowledge"
5581,"Automação de processos","Industry Knowledge"
2332,"Automated External Defibrillator (AED)","Tools & Technologies"
4520,"Automated Machine Learning (AutoML)","Industry Knowledge"
1205,"Automated Software Testing","Other Skills"
3290,"Automated Trading","Other Skills"
4409,"Automatic Control","Other Skills"
906,Automation,"Industry Knowledge"
3010,"Automation Anywhere","Tools & Technologies"
5238,"Automation Testing","Industry Knowledge"
4396,AutoML,"Industry Knowledge"
4431,"Automotive Electronics","Other Skills"
5009,"Autonomous Driving","Other Skills"
1990,"Autonomous Vehicles","Other Skills"
2031,Autosys,"Other Skills"
3562,Availability,"Other Skills"
2671,"Avaya IP Telephony","Other Skills"
1238,Aviation,"Industry Knowledge"
2896,Avid,"Tools & Technologies"
3910,"Avid Media Composer","Tools & Technologies"
6262,Avionics,"Industry Knowledge"
3973,AVR,"Other Skills"
1229,Avro,"Other Skills"
3452,Awk,"Other Skills"
550,AWS,"Tools & Technologies"
3964,"AWS CloudFormation","Tools & Technologies"
5294,"AWS CodePipeline","Tools & Technologies"
3821,"AWS Command Line Interface (CLI)","Tools & Technologies"
5348,"AWS EC2","Other Skills"
3622,"AWS Elastic Beanstalk","Tools & Technologies"
5346,"AWS Glue","Tools & Technologies"
4345,"AWS Identity and Access Management (AWS IAM)","Other Skills"
5002,"AWS IoT","Tools & Technologies"
5165,"AWS Kinesis","Tools & Technologies"
2760,"AWS Lambda","Tools & Technologies"
2917,"AWS SageMaker","Tools & Technologies"
5453,"AWS Security","Tools & Technologies"
3765,"AWS Serverless","Other Skills"
2875,"AWX Project","Tools & Technologies"
4466,Axapta,"Other Skills"
1459,Axure,"Other Skills"
2346,"Axure RP","Other Skills"
2226,Azure,"Tools & Technologies"
3107,"Azure Active Directory","Tools & Technologies"
4212,"Azure Cloud","Tools & Technologies"
2274,"Azure Cosmos DB","Tools & Technologies"
2302,"Azure Data Factory","Tools & Technologies"
3690,"Azure Data Lake","Tools & Technologies"
4711,"Azure Data Lake Analytics","Tools & Technologies"
4861,"Azure Databricks","Tools & Technologies"
356,"Azure DevOps","Tools & Technologies"
3221,"Azure DevOps Server","Tools & Technologies"
2118,"Azure Functions","Tools & Technologies"
3753,"Azure IoT","Tools & Technologies"
4706,"Azure Key Vault","Tools & Technologies"
3336,"Azure Kubernetes Service (AKS)","Tools & Technologies"
3270,"Azure Kusto","Tools & Technologies"
4710,"Azure Machine Learning","Tools & Technologies"
5335,"Azure Resource Manager","Tools & Technologies"
3487,"Azure Service Bus","Tools & Technologies"
3425,"Azure Service Fabric","Tools & Technologies"
5334,"Azure Site Recovery","Tools & Technologies"
5333,"Azure Virtual Machines","Tools & Technologies"
2769,B2B,"Industry Knowledge"
4238,"B2B Marketing","Industry Knowledge"
5202,"B2B Marketing Strategy","Other Skills"
5203,"B2C marketing","Other Skills"
6150,"Baan ERP","Other Skills"
1491,Babel,"Tools & Technologies"
3224,Babel.js,"Tools & Technologies"
2102,Back-end,"Other Skills"
65,"Back-End Web Development","Other Skills"
191,Backbone.js,"Tools & Technologies"
2482,Backend,"Other Skills"
4024,"backend ","Other Skills"
5241,"Backend Development","Other Skills"
3447,Backpacking,"Other Skills"
5021,Backtrack,"Other Skills"
4196,"Backup & Recovery Systems","Other Skills"
2812,"Backup Exec","Other Skills"
96,"Bacterial Transformation","Other Skills"
5952,Badminton,"Other Skills"
2975,BAL,"Other Skills"
1408,"Balance Sheet Review","Other Skills"
1068,Ballet,"Other Skills"
5283,Balsamiq,"Tools & Technologies"
1460,"Balsamiq Mockups","Other Skills"
6337,Bamboo,"Tools & Technologies"
6145,Band,"Other Skills"
3723,"Band Saw","Other Skills"
2211,Bands,"Other Skills"
1397,"Bank Reconciliation","Industry Knowledge"
2594,Banking,"Industry Knowledge"
1859,BAPI,"Other Skills"
5961,"Barcode Technology","Other Skills"
932,Barista,"Other Skills"
3696,"Barista Training","Other Skills"
433,Baritone,"Other Skills"
879,Bartending,"Industry Knowledge"
5526,"Base de datos relacional","Tools & Technologies"
3297,Baseball,"Other Skills"
411,Basecamp,"Other Skills"
6020,"Basel II","Other Skills"
4269,"Bases de datos","Tools & Technologies"
178,Bash,"Tools & Technologies"
2793,BASIC,"Other Skills"
3989,"Basic C Programming","Tools & Technologies"
404,"Basic HTML","Tools & Technologies"
3526,"Basic Japanese",Languages
2788,"Basics of Unix","Tools & Technologies"
1007,Basketball,"Industry Knowledge"
623,"Bass Fishing","Other Skills"
1773,"Bass Guitar","Other Skills"
3685,Batch,"Other Skills"
6478,"Batch Files","Other Skills"
5501,"Batch Processing","Other Skills"
1643,"Batch Programming","Other Skills"
2246,Batik,"Other Skills"
4069,"Bayesian networks","Other Skills"
5494,"Bayesian statistics","Other Skills"
3316,Bazel,"Tools & Technologies"
3109,BBQ,"Other Skills"
1022,bcrypt,"Tools & Technologies"
1857,BDC,"Other Skills"
825,BDD,"Other Skills"
2225,"Beautiful Soup","Tools & Technologies"
3234,Bedrock,"Other Skills"
379,"Behavior-Driven Development (BDD)","Other Skills"
5647,"Behavioral Interviewing","Other Skills"
5259,"Behavioral Science","Other Skills"
6164,"Behavioral Targeting","Other Skills"
3724,"Belt Sander","Other Skills"
2497,BEM,"Other Skills"
4406,Benchmarking,"Other Skills"
4484,"Berkeley DB","Other Skills"
2611,"Beverage Industry","Other Skills"
5199,BFSI,"Other Skills"
2708,BGP,"Industry Knowledge"
3805,"Biblical Languages","Other Skills"
3801,"Biblical Studies","Industry Knowledge"
5327,"Biblioteca de infraestructura de tecnologías de información","Industry Knowledge"
5568,"Bid Management","Other Skills"
5050,"Bid Process Management","Other Skills"
540,"Big Data","Industry Knowledge"
766,"Big Data Analytics","Other Skills"
5864,"Big Query","Tools & Technologies"
3479,Bigquery,"Tools & Technologies"
3481,BigTable,"Other Skills"
3085,"Bilingual Communications","Other Skills"
1905,Bilingualism,"Other Skills"
5615,"Billing Systems","Other Skills"
3027,BIM,"Industry Knowledge"
740,"Binary Translation","Other Skills"
6123,"Bing Maps","Other Skills"
2837,Biochemistry,"Industry Knowledge"
884,Biodiversity,"Industry Knowledge"
1579,Bioinformatics,"Industry Knowledge"
428,Biology,"Industry Knowledge"
3532,"Biomedical Engineering","Industry Knowledge"
1677,Biometrics,"Other Skills"
4342,Bios,"Other Skills"
5493,Biostatistics,"Industry Knowledge"
2833,Biotechnology,"Industry Knowledge"
5533,Bison,"Other Skills"
2623,Bitbucket,"Tools & Technologies"
640,Bitcoin,"Other Skills"
5448,Bitlocker,"Other Skills"
3380,BitTorrent,"Other Skills"
3478,BizTalk,"Other Skills"
6409,"Black Belt","Industry Knowledge"
2143,"Black Box Testing","Other Skills"
2940,Blackberry,"Other Skills"
2485,"Blackberry Enterprise Server","Tools & Technologies"
4549,Blaze,"Other Skills"
3871,Blazor,"Tools & Technologies"
6035,"Blended Learning","Industry Knowledge"
1961,Blender,"Other Skills"
1743,Blockchain,"Tools & Technologies"
3799,"Blockchain ","Tools & Technologies"
493,Blogging,"Industry Knowledge"
1017,Bloomberg,"Tools & Technologies"
1008,"Bloomberg Software","Other Skills"
580,"Bloomberg Terminal","Tools & Technologies"
5350,"Blue Prism","Tools & Technologies"
5814,Bluebeam,"Other Skills"
5820,bluemix,"Tools & Technologies"
1365,"Blueprint Reading","Industry Knowledge"
3070,Bluetooth,"Other Skills"
6059,"Bluetooth LE","Tools & Technologies"
2481,"BMC Patrol","Other Skills"
2294,"BMC Remedy","Tools & Technologies"
6115,BO,"Tools & Technologies"
5971,"Board Presentations","Other Skills"
4707,"Board Support Package","Other Skills"
4381,"Body Language","Other Skills"
2572,BOM,"Other Skills"
1521,Bookkeeping,"Industry Knowledge"
3645,Boost,"Other Skills"
4491,"Boost C++","Other Skills"
3497,Boostrap,"Tools & Technologies"
121,Bootstrap,"Tools & Technologies"
1651,"Bootstrap 3","Tools & Technologies"
1715,"Bootstrap 4","Tools & Technologies"
5495,Bootstrapping,"Other Skills"
2709,"Border Gateway Protocol (BGP)","Industry Knowledge"
6370,"Borland C++","Other Skills"
6131,"Borland C++ Builder","Other Skills"
5962,"Borland Delphi","Other Skills"
1721,Bower,"Other Skills"
5904,BPMN,"Other Skills"
2471,"Brand Awareness","Industry Knowledge"
1645,"Brand Development","Industry Knowledge"
3372,"Brand Management","Industry Knowledge"
3373,"Brand Strategy","Industry Knowledge"
