id,position,company_name
13946,"(Dot Net/Microsoft Dynamics CRM) Developer -Trainee","ASAL Technologies"
10512,"(Technical) Program Manager",Microsoft
16459,"[MCIE 2.0] International Entrepreneur Community Founder",MemberClouds
13936,"{.NET AND WEB DEVELOPER & ANALYST} ","ENENIA COMPUTING SOLUTIONS "
13925,"{.Net Developer}","Arrowpoint Corporation Client Army"
13922,"{.Net/DB/SQL/UI/SDLC Developer}","Greystones Consulting Group, LLC, Client: Navy"
13920,"{Full Stack Developer/Integrator/Engineer}","AISE/SOS Client: DoS"
13931,"{Full Stack Developer/Integrator/Engineer}","JOSEPH A GILMORE SENIOR DAY CARE CENTER"
13927,"{Full Stack Web Developer /Engineer/Integrator} ","QUADRANT, INC., SUB-CLIENT: ARMY (GOVERNMENT) CLIENT: INTERIMAGE"
13924,"{Full Stack Web Developer/Integrator/Engineer}","OST INC., Client : FAA"
13929,"{Software Developer}",RHT
13930,"{Software Developer/Engineer} ","SMART SYNERGIES,INC. CLIENT:INGENIUM SUB-CLIENT:WALTER REED ARMY MEDICAL CENTER (GOVERNMENT)"
13923,"{System Analyst}","Princeton Information Client : FREDDIE MAC"
781,"*********** Top Gun Consultant ***** (beginning of my IT career) **************","Chubb Computer Services"
16926,"#BattleOfTheCamps Hackathon Participant",Twitter
15704,"•High Education Professor","Faculdade Bandeirantes de Tecnologia - BANDTEC"
4638,∈(ﾟ◎ﾟ)∋✨🌏🔗,Google
16435,"☑ President of 💡 Profound Ideation Inc. ⌨ Web Dev. & Marketing Agency ","Profound Ideation Inc."
17187,"1000 girls a 1000 futures member.","The New York Academy of Sciences"
4630,"12 Volt Technician","National Auto Sound"
4842,"13F10 Field Arty Forward Observer","US Army"
14837,"1st Artist in Residence","Microsoft Research"
2566,"2015 Summer Intensive Participant","All Star Code"
910,"2016 DECA Scholar",Qualcomm
8332,"2016 Democratic Nominee for MA State Representative, 2nd Barnstable District","Committee to Elect Aaron Kanzer"
6138,"2019 Fellow","Rewriting the Code"
12633,"2019 Fellow/Alumni","Rewriting the Code"
17192,"2019 Morelos Hackathon","Hackathon Morelos"
8340,"2020 Hack.Diversity Fellow",Hack.Diversity
1940,"2021 Hispanic/Latinx Possibilities Summit ","Goldman Sachs"
1937,"2021 Latinx Student Leadership Summit",Google
13668,"2021 Virtual Insights Series Participant","Goldman Sachs"
13659,"2021/2022 VPE Participant","Harvard Business School"
12974,"2022 Inclusion by Insight Summit","Insight Partners"
12977,"2022 NYU Artificial Intelligence & Machine Learning School","New York University"
12971,"2022 Possibilities Summit","Goldman Sachs"
12972,"2022 Tech Resilience",Microsoft
17182,"2D and 3D Digital content Freelancer",Freelance
2310,"2nd Level Javascript Engineer","JW Player"
9018,"2nd Level Support (Visual Dataflex, Microsoft SQL Server T-SQL, Crystal Reports)","Autosoft Pty Ltd"
6379,"3D Artist","FA: Source Development Team"
9605,"3D Print Specialist","SJSU Software & Computer Engineering Society"
18884,"3rd Shift Supervisor","Bankers Conseco Life Insurance Company"
9781,"4G Protocol Software Engineer (summer intern)","Motorola Mobility"
9107,"5ESS Software Engineer - Lisle, IL","AT&T Primary Markets [Gaming & Utilities]"
4484,"5th Grade Science Teacher","Achievement Prep"
1429,"A* Member",/dev/color
2140,"A* Program Member",/dev/color
6512,"A/V Technician","Gordon Research Conferences"
3269,"A&R Research Project Lead","Massive Creative Intelligence Agency"
11649,"A2DP Tester HTC/Contractor",HTC
14633,"AaaS | Tech Educator | Best-Selling Author | Advocate For more inclusion In Data","Walter Shields Data Academy"
2242,"AALDP Actuarial Intern",Travelers
12819,"ABCS Fellow",Facebook
3693,"ABCS Technical Workshop Series Participant",Facebook
6074,"Above & Beyond Computer Science Fellow",Facebook
5002,"Above & Beyond Computer Science Participant",Facebook
13701,"Above and Beyond Computer Science Fellow",Facebook
3802,"Academic Advisor- New Student Center","New York City College Of Technology"
1241,"Academic Coach","Brown University"
3030,"Academic Computing Expert for Barnard College Information Technology (BCIT) Student Computing ","Barnard College"
6806,"Academic Excellence Workshop Facilitator","Cornell University College of Engineering"
15203,"Academic Tutor","Columbia University in the City of New York"
1945,"Academic Tutor","CPREP Tutoring"
5306,"Academic Tutor",Self-Employed
15250,"Academic Tutor","State University of New York College at Buffalo"
21050,"Academic Tutor","University of Sydney"
8145,"Academic Tutor (Student Athlete Support Services)","Boston University"
11259,"Academic Tutor Consultant","Academic Tutoring Services, Inc"
7360,"Academic Tutor, Athletics Academic Services","University at Buffalo"
20370,"Academic Tutor: Computer Science, Mathematics and Language","Various firms"
4528,"Academic-Peer Instructor","The City College of New York"
19081,"ACCC Student Computer Specialist","University of Illinois at Chicago"
2159,"Access Code iOS Development Fellow",C4Q
11813,"Access Developer",ConverTech/Base-Line
9178,"Access VBA and SharePoint Programmer - Consultant","National Home Watch Association - Remote - (WCG)"
4394,"Account Development Manager","CJ Foods / TMI trading"
6,"Account Development Representative, Inbound",Samsara
12589,"Account Director",Appirio
5468,"Account Executive","CloudLex, Inc."
414,"Account Executive",Rivews
10990,"Account Executive - Silicon Valley & Japan, Amazon Web Services","Amazon Web Services (AWS)"
19186,"Account Executive \ Technical Recruiter – For Las Vegas","Robert Half Technology"
14981,"Account Executive in New York City",IBM
14979,"Account Executive, Education","Microsoft Corporation"
14973,"Account Executive, Enterprise Accounts","Neustar Security Services"
8334,"Account Management Co-op","Federal Reserve Bank of Boston"
9052,"Account Manager",Allyis
4046,"Account Manager","Impact Learning and Development"
7775,"Account Manager","LanguageWorks, a division of Ubiqus"
19812,"Account Manager","Sun Microsystems"
18144,"Account Manager","Telia Company"
4576,"Account Manager","XL Diamonds"
8709,"Account Manager",Zulip
9103,"Account Manager - Las Vegas, NV","AT&T Primary Markets [Gaming & Utilities]"
16158,"Account Manager - Top 10 U.S based P&C Insurer","L&T Infotech Ltd"
19173,"Account Manager / Consultant","Keane Inc."
3145,"Account Manager / Practice Manager - Location Intelligence & Enterprise Mobility","Infusion Development"
7864,"Account Manager and Software Engineer",ProdPerfect
13588,"Account Technology Strategist",Microsoft
1521,Accountant,"Arch Companies"
10179,Accountant,Biz2Credit
7339,Accountant,"Keller Williams Signature Realty"
2570,Accountant,"Kollins Communications, Inc."
2576,Accountant,"Mile Hi Valet Service"
1766,Accountant,"T&M USA, LLC"
11178,"Accountant and IT-Administrator","Team Styria GmbH"
1523,"Accounting and Financial Analyst Intern","Madison Hill Properties"
1768,"Accounting Associate","Absolute New York"
4777,"Accounting Intern","Halcrow, a CH2M HILL Company"
1397,"Accounting Intern","Strike Holdings LLC"
5686,"Accounting Intern","Total Community Management"
1765,"Accounting Manager","Speed Korea"
1767,"Accounts Payable Associate","Quality Branded"
3704,"Accounts Payable Clerk","Cerebral Palsy Associations of New York State"
1396,"Accounts Payable Manager","Opening Ceremony"
884,"Accounts Receivable Clerk","Premier Group Recruitment"
12973,"ACE Global Markets Exploratory Summit","BNP Paribas"
4794,"ACE- Project Management","ACE mentor program- Sciame Construction INC."
9849,"ACM ICPC Coach","Columbia University in the City of New York"
1093,"ACM-W Chapter President at Stern College for Women","Yeshiva University"
2041,"Acquisitions / Marketing Intern","Tribeca Enterprises"
2043,"Acquisitions Intern","IFC Films"
1697,"Acting Apprentice/Teaching Artist/House Manager","Florida Studio Theatre"
15644,"Acting CTO",Bankwest
9101,"Acting MIS Dir & Unix Systems Admin - N Las Vegas, NV","Lake Mead (North Vista) Hospital"
19160,"Active Directory Engineer",TEKsystems
10456,"Active Member - Microsoft Innovation Center",Microsoft
11807,"ActivPlant Support Specialist",Weyerhaeuser
13696,"Actuarial Intern",AIA
7728,"Actuarial Intern","Sun Life Financial"
3743,"AD Migration Support engineer","American Express"
5084,"ADI Labs: Software Development Team",ADI
16733,"Adjunct Assistant Professor","New York University"
5734,"Adjunct College Laboratory Technician","City University of New York-College of Staten Island"
9209,"Adjunct Faculty","College of Mount St. Joseph"
12646,"Adjunct Faculty","The State University of New York"
12095,"Adjunct faculty / Weekend Continuing Education Program / Technology Program","Bellevue College"
18362,"Adjunct Faculty Member","Chandler Gilbert Community College"
18361,"Adjunct Faculty Member","Mesa Community College"
10842,"Adjunct Instructor","Florida Atlantic University"
19207,"Adjunct Instructor","Roosevelt University"
296,"Adjunct Lecturer","City University of New York"
14767,"Adjunct Lecturer","City University of New York-Herbert H. Lehman College"
3734,"Adjunct Lecturer","Rochester Institute of Technology"
3361,"Adjunct lecturer (community work)","Hunter College"
17568,"Adjunct Lecturer- Computer Information Systems","City University of New York-Herbert H. Lehman College"
4505,"Adjunct Lecturer/Curriculum Designer","New York City College of Technology"
15606,"Adjunct Professor","Florida International University"
2191,"Adjunct Professor","New Jersey City University"
13789,"Adjunct Professor","New York University"
14001,"Adjunct Professor","NYU Tandon School of Engineering"
9492,"Adjunct Professor","San Jose City College"
17653,"Adjunct Professor","Syracuse University"
1588,"Adjunct Professor","Vaughn College of Aeronautics and Technology"
14194,"Adjunct Professor Of Computer Science","Columbia University in the City of New York"
14650,"Adjunct Professor of Law","Fordham University"
14249,"Adjunct Professor, Analytics","City University of New York"
14250,"Adjunct Professor, Analytics","Katz School of Science and Health at Yeshiva University"
12410,"Adjunct Professor, Department of Computer Science and Engineering","Indian Institute of Technology, Kharagpur"
10841,"Adjunct Professor, Faculty of Information Technology & Operations Management","Florida Atlantic University"
13582,"Adjunct Professor, NYU Tisch School of the Arts","New York University (ITP)"
3256,"Adjunct Teaching Assistant / Instructor","The Graduate Center, City University of New York (CUNY)"
7679,"Admin and Operations Coordinator","Rahhalah Explorers"
14699,"Administrador Sistemas y Desarrollador Freelance",Freelance
3774,"Administration/Events Assistant","Unitarian Church Of All Souls"
1801,"Administrative Account Assistant","Goodwin Associates Inc."
908,"Administrative Assistant","B&H Wholesale"
8223,"Administrative Assistant","Coresecure, Inc."
1802,"Administrative Assistant","Dialogue House"
1315,"Administrative Assistant","Educational Experiences"
2660,"Administrative Assistant","First Med Urgent Medical Care"
1932,"Administrative Assistant","H.O. Penn Machinery Co., Inc."
16638,"Administrative Assistant","Live Wire Electric LLC"
16843,"Administrative Assistant","Local Government of São Mamede"
17264,"Administrative Assistant","One Medical"
2823,"Administrative Assistant","Rise Dance Company"
18761,"Administrative Assistant","Roberts & Asoc. S.A."
2240,"Administrative Assistant","Special Education Associates"
20675,"Administrative Assistant","University of Denver"
1654,"Administrative Assistant","Women in the World Media/ Tina Brown Live Media"
3890,"Administrative Assistant & Project Coordinator","Baker McKenzie"
13121,"Administrative Assistant and Examination Support Officer","NYC Department of Citywide Administrative Services"
5240,"Administrative Assistant Intern","Billion Development & Project Management Limited"
2527,"Administrative Assistant to The Parent Coordinator Intern","Leon. M. Goldstein High School"
17084,"Administrative Coordinator","University of Pennsylvania"
7759,"Administrative Intern","Fidelity Investments"
5724,"Administrative Intern","Northwell Health"
819,Administrator,"Apollo Global Management LLC"
818,Administrator,Bizfi
7997,Administrator,"St Andrews Nightline"
952,Administrator,"Subtle Asian Tech"
18924,"Adminstration Contractor",Manpower
3628,"Admission Intern","Binghamton University"
397,"Admissions / Active Duty Military Admissions","Penn Foster"
2602,"Admissions Ambassador","The Principia"
2469,"Admissions Assistant","The Cooper Union for the Advancement of Science and Art"
9478,"Adobe community professional (ACP)",Adobe
2157,"Advance Fellow",Pursuit
18952,"Advance Video Engineer III","Charter Communications"
13714,"Advanced Analytics Co-op","Electronic Arts"
1137,"Advanced Analytics Intern","Johnson & Johnson"
3028,"Advanced Application Engineering Analyst",Accenture
19910,"Advanced Career Education Program Dev",IBM
8780,"Advanced Software Engineer I","Bluefin Robotics"
5832,"Advanced Tech Flex Leaders Program ","New York On Tech"
19514,"Advanced Tech Support",IBM
18385,"Advanced Telepresence Software Engineer","Carnegie Mellon University"
2510,"Advertising Intern","Outsider NYC"
1646,"Advertising Staff Member","EdVenture Partners"
19418,"Adviser / Product Designer / Developer (Unity XR)",NewPath
16299,Advisor,"Abacast Inc"
14509,Advisor,Authomize
9587,Advisor,"Code Chrysalis"
13474,Advisor,CTRL-labs
14842,Advisor,"Ember Fund"
14327,Advisor,Emissary.io
14508,Advisor,Good-ID.org
14774,Advisor,Heartful.ly
14507,Advisor,ID2020
14775,Advisor,"Lasting Adventures"
15155,Advisor,"Limelight Networks"
11122,Advisor,"Loyal VC"
14107,Advisor,ModelMe
16476,Advisor,"Nexus Financial Services Pte Ltd -Singapore"
10912,Advisor,"Orangewood Labs (Y Combinator W18)"
14773,Advisor,"Patronus (acquired by RapidSOS)"
11109,Advisor,Q1Media
15153,Advisor,SpaceX
11034,Advisor,"The LISA Movement"
11071,Advisor,Torq
10310,Advisor,"WEAVR AI"
16477,Advisor,"Zurich Insurance Company Ltd"
10917,"Advisor - Product Management, User Research, GTM",Seventh
14445,"Advisor - Strategy and Operations ","Vesto, LLC"
13747,"Advisor & Data Scientist (Pro Bono)","U.S. Digital Response"
11137,"Advisor of Blockchain Technology","Hashed Health"
15154,"Advisor to the CEO","Turk Telekom"
15070,"Advisor to the Office of the President","State of the World Forum"
10870,"Advisory Board Member","CloudKnox Security Inc"
13956,"Advisory Board Member","Cybersecurity for Executives at Ithaca College"
8054,"Advisory Board Member","Middlesex School Chapel Trustee"
10924,"Advisory Board Member",Nutrimake
10866,"Advisory Board Member","ThreatWatch Inc"
10869,"Advisory Board Member",Udacity
14318,"Advisory Board Member - Cybersecurity Program ","Ithaca College"
10738,"Advisory Board Member of ConvrtX",ConvrtX
11972,"Advisory I/T Specialist","IBM - International Business Machines (Global Services), Seattle, WA"
10695,"Advisory Mentorship Programme ","Advisory Singapore"
2392,"Advisory Software Engineer",IBM
15552,"Advisory Software Engineer / Eclipse and Java Developer","IBM - Pervasive Computing Division"
15551,"Advisory Software Engineer for Lotus Expeditor Client",IBM
14037,"Advisory Software Engineer, Machine Learning",IBM
13202,"Advisory Technology Consultant",EMC
16140,"Advocacy Manager","Locust Street Group"
4350,"Advocate & Mentor","Pray for Cake"
7202,"AEMES Tutor","Spinelli Center"
1490,"Aerographer's Mate Third Class","US Navy Reserve"
15169,"AFE Software Development Engineer Intern",Amazon
2162,"After School Lead Teacher","82nd Street Academics"
12282,"Agile Coach","Kymeta Corporation"
12281,"Agile Coach","Murphy & Associates, Inc."
6874,"Agile Developer Intern",SAP
19053,"Agile Technical Program Management / Scrum Master/Coach & DevOPS ",Staples
19317,"AI Ethics (FATE) Research Intern",Microsoft
19318,"AI Ethics Expert & Consultant","Ethical Intelligence Associates, Limited"
9814,"AI Officer","UCLA ACM"
12963,"AI Research Engineer ","New York University"
6653,"AI Research Software Engineer","Duke University"
8153,"AI Researcher","Wheaton College (MA)"
16528,"Air Force - Medical ","United States Air Force"
218,"Air Force Research Lab Intern","Assured Information Security (AIS)"
8846,"Air Travel Consultant","Grand Circle Corporation"
12102,"Airborne Ranger","75th Ranger Regiment, U.S. Army"
2491,"Aircraft Coordinator, Secretary, De-Icing, Mechanic Assistant","Mach Ii Maintenance Corp"
18839,"Alexa Engineering ",Amazon
4702,"Algo Trader","Futures First"
5407,"Algorithmic Reasoning Teaching Assistant","Rice University"
5486,"Algorithmic Trading Subteam Member","Cornell Data Science"
2293,"Ally (Ready to mentor)","#HIREBLACK Initiative"
15734,"Alpha Microsoft Learn Student Ambassador",Microsoft
5244,"Alpine Ski Racing Coach","Hunter Mountain Ski Bowl, Inc."
14868,"Alternate Technical Representative","MERCOSUR, Argentina Secretariat of Science and Technology"
617,Alumni,"Girls Who Code"
5610,"Alumni & Ambassador","Girls Who Code"
7551,"Alumni Advisor","College of Information and Computer Sciences, UMass Amherst"
3034,"Alumni Ambassador","Girls Who Code"
3121,"Alumni Engagement Manager","CUNY Tech Prep"
7722,"Alumni Relations Representative","Harvard Business School"
18273,"Alumnus Norwich University founded 1819","Norwich University"
16667,"Amazon AWS S3 Intern","Amazon Web Services (AWS)"
2678,"Amazon VPL","Best Buy"
2676,"Amazon VPL ","Best Buy"
5608,Ambassador,#BUILTBYGIRLS
13868,Ambassador,"Scholarship Track"
19013,Ambassador,"Women Tech Makers Houston"
12702,"Ambassador - Asia Pacific","IEEE Computer Society"
7600,"Ambassador, Olin College","Sequoia Capital"
7610,"America Reads and Counts Teaching Assistant","New York University"
8767,"America Reads and Counts Tutor","Colby College"
9231,"Americas SASE Sales Leader, Public Sector","Palo Alto Networks"
17325,"AML/BSA KYC Onboarding","New York Financial Insititution"
17327,"AML/KYC Onboarding Consultant - UK Jurisdiction Global Markets",Scotiabank
21119,"Amplify Developer",RBC
16316,"Analista Desenvolvedor Pleno",BRQ
14698,"Analista Programador","PrevenRisk S.A."
14696,"Analista Programador y Consultor Microsoft/NET (by Auseba)","Holding Europeo Tindex"
1118,Analyst,Accenture
9980,Analyst,"Capital Consulting Group - University of Michigan"
1155,Analyst,"City Financial Investment Company Limited"
5482,Analyst,"Cornell Business Analytics"
3618,Analyst,"Cornell Venture Capital"
15287,Analyst,"Deloitte India (Offices of the US)"
5225,Analyst,"Global Atlantic Financial Group"
2412,Analyst,"Goldman Sachs"
7253,Analyst,Lab49
1789,Analyst,MaxDelivery
13271,Analyst,Nomura
8434,Analyst,"Power Auctions LLC"
8142,Analyst,"SIS RM"
4602,Analyst,"Wintrust Financial Corporation"
20453,"Analyst - Marketing and Information Staff","Michigan Marching Band"
17923,"Analyst (Principal Funding & Investment Group)","Goldman Sachs"
9067,"Analyst / Programmer","Phoenix Business Systems Pty Ltd"
11010,"Analyst & Programmer","Model Offset Printing Corp."
12350,"Analyst & Programmer","PriceLine.com, Stamford, CT, USA"
12351,"Analyst & Programmer","SCALA Intl, Stockholm, SWEDEN"
3626,"Analyst Intern",1010data
13693,"Analyst Intern","Institutional Life Services"
14307,"Analyst Programmer","Intellisol International"
12207,"Analyst Programmer",ObjectSourceInc
19001,"Analyst Programmer","Techno-Consult International"
19003,"Analyst programmer","TNT Express world wide"
21237,"Analyst Programmer - Innovation and Project Management","Zambia Revenue Authority (ZRA)"
5765,"Analyst, Commodities","Futures First Info. Services Pvt. Ltd."
18256,"Analyst, System Function & Design Group","The Church of Jesus Christ of Latter-day Saints"
15316,Analyst/Developer,"Goldman Sachs"
11948,Analyst/Programmer,"CCS Technologies"
18675,"Analysts Programmer","GUS Transport"
17760,"Analytical Engineer/Developer","Susquehanna International Group, LLP (SIG)"
4076,"Analytical Technician","The Dow Chemical Company"
10783,"Analytics and KPI Program Manager","Yahoo! Inc."
20199,"Analytics Platform Developer Intern",Verizon
10446,"Analytics Student Consultant","Carlson Analytics Lab"
17094,"Analytics Tech Lead",Huge
3118,"Analyzing Live Internet Traffic Streams","IBM T.J. Watson Research"
16754,"Android App Developer","iBridge Language LLC"
21110,"Android App Development Mentor - AppJam+","Dreams for Schools"
15392,"Android Application Developer","Veddis Labs"
4625,"Android Application Intern","Electronics Coperation of India Limited"
8759,"Android Backend Developer",Arrow
12826,"Android Developer","Atoms Technologies"
7985,"Android Developer","Bottle Rocket"
17803,"Android Developer","Moby, Inc"
13101,"Android Developer","North Carolina State University"
7984,"Android Developer","Oven Bits"
18552,"Android Developer","Pervasive Software"
7468,"Android Developer","Platform5 - Digital Studio"
20165,"Android Developer","Remote Tiger Inc."
17805,"Android Developer","Sports Video Journals LLC"
20164,"Android Developer","SSL Public Relations"
4389,"Android Developer","Trinity Empire LLC"
6730,"Android Developer (Co-op)","Euphony, Inc."
16936,"Android Developer Intern","Altcoin Fantasy"
5773,"Android Developer Intern","Base Operations"
1782,"Android Developer Intern","Campus Clipper"
19973,"Android Developer Intern","hedgehog lab"
20717,"Android Developer Intern","Innova Technology Solutions"
15404,"Android Developer intern","Tag You're it"
6009,"Android Developer Intern at GTS","New York University"
7215,"Android Development Fellowship",Pursuit
17804,"Android Development Instructor","Green River College"
11759,"Android Development Instructor","Seattle Central Community College"
14276,"Android Development Intern","HCL Technologies"
4238,"Android Engineer","Peloton Cycle"
17802,"Android Engineer","The New York Times"
10134,"Android Engineering Consultant(consulting)",Lab126
10133,"Android Engineering Consultant(consulting)","Samsung Research America"
16603,"Android Frontend Engineer Intern","Waave Inc."
7211,"Android Instructor",Pursuit
12940,"Android Mobile Application Developer",Booksquare.in
12941,"Android Mobile Application Developer","Future Edge Institute for IIT-JEE and Medical"
20490,"Android Software Developer",CyLab
5494,"Android Software Engineer and Web Developer","MIT Little Devices Lab"
368,"Android Software Engineer Intern",TripAdvisor
7212,"Android Teacher Assistant",Pursuit
7467,"Android Trainer","Platform5 - Digital Studio"
14056,"Angel Investor",Self-employed
14596,"Angel Investor, Mentor at various startup incubators","Investor/Advisor to Various Startups"
10128,"Animal Care Team Volunteer (voluntary / part-time)","Wildlife Center Of Silicon Valley"
9245,"Animation Intern","Makuta VFX"
10980,"Anti-Malware Engg Intern",Microsoft
12516,"AOC Product Channel Operations Manager, a large software company in Redmond",Accenture
9275,"AP Computer Science Teacher","The Overlake School"
10694,"APAC Investment Challenge 2020 ","Credit Suisse"
16630,"Apache Hive/Sqoop Contributor","The Apache Software Foundation"
19818,"APC by Schneider Electirc, Technical Support Engineer Level 4","Schneider Electric"
2045,"API Tutor","LaGuardia Community College"
15747,"App Architect / Sr. Developer","Cloud Computing Associates"
9959,"App Design, Marketing, Graphics, & Branding","Jiive; Poopalz; Wink"
16605,"App Developer","Android Development"
17648,"App Developer","Puppetry Arts New York- Home of Tuffy Tiger!"
4081,"App Developer at Google Mentorship Program",Google
3637,"App Development Intern","JWC Real Estate Group"
20839,"App Lab Intern","Drexel University ExCITe Center"
9634,"AppJam+ Program Mentor","Dreams for Schools"
8727,"Apple Device and Management Consultant","Nexus Media"
8731,"Apple Enterprise Systems Engineer – Mac Desktop Encryption Project","Partners: Brigham and Women's Hospital"
8730,"Apple Enterprise Systems Engineer – Mac OS Upgrade Project (Contract)","Vertex Pharmaceuticals"
2674,"Apple Mobility Pro","Best Buy"
3847,"Application Analyst","Dow Jones"
16346,"Application Architect",Anheuser-Busch
3958,"Application Architect",IBM
18409,"Application Architect (Consultant)",Verint
2781,"Application Architect Consultant","Mobile Media Partners"
20203,"Application Architect Intern","Consumers Energy"
14426,"Application Architect, Programmer - Netpyxis Consulting","Heineken USA"
14423,"Application Architect, Programmer - Netpyxis Consulting","Wyeth Pharmaceuticals"
18669,"Application Architect/Development Team Leader","Credit Suisse (IB)"
18321,"Application Data Architect - NextGen Point of Sales System",Walgreens
3935,"Application Database Administrator",Dive
3927,"Application DBA","Tata Group - North America"
12236,"Application Designer Level 1","Microsoft, Redmond, WA (On contract from Chameleon Technologies)"
19917,"Application Developer",Accenture
15172,"Application Developer",ADP
18999,"Application Developer","Advance Logix"
10450,"Application Developer",AT&T
16571,"Application developer","Bear Stearns"
3419,"Application Developer","Bell Canada"
1010,"Application Developer","Black Knight Financial Services"
20520,"Application Developer","BNY Mellon"
12268,"Application Developer",Captaris
18088,"Application Developer","CB Richard Ellis (CBRE) INC"
19886,"Application Developer","Cigital, Inc"
3932,"Application Developer","Collabera Inc."
18423,"Application Developer",Coretree
18606,"Application Developer","County of Riverside"
8871,"Application Developer","CVS Caremark Corporation"
20166,"Application Developer","Devi Ahilya Vishwavidyalaya"
2500,"Application Developer",East.net
16118,"Application Developer",Elance
15732,"Application Developer","Goldman Sachs"
17051,"Application Developer",HRA
10024,"Application Developer",IBM
20018,"Application Developer","Illinois State Water Survey"
20629,"Application Developer",InCentrik
15682,"Application Developer",Infobright
12432,"Application Developer","Ion Design Co."
2206,"Application Developer","JP Morgan Case ( Contract via. Indotronix International Corp.)"
1370,"Application Developer","Mercedes Enterprises"
19000,"Application Developer","Micro Nest Inc"
3422,"Application Developer",Microsoft
2883,"Application Developer","Moweb Technologies Pvt. Ltd."
21131,"Application Developer",NetCentrics
17612,"Application Developer","New York-Presbyterian Hospital"
10452,"Application Developer","Northwestern Mutual"
12270,"Application Developer","OpenLink Financial"
853,"Application Developer","Oppenheimer & Co. Inc."
18187,"Application Developer","Quest Diagnostic"
