id,position,company
242,Architect,WSG Systems Corp
243,VP R&D,WeBook
244,Senior Developer,WSG
245,Developer,Comfy
246,Senior Software Engineer ,BlackRock
247,Software Engineer ,BlackRock
248,Founder,LoveSylvester
249,Founder,GoGemach
250,Brand Ambassador,Vault.com
251,Software Engineer Intern,BlackRock
252,Jr. Instructor,CodeAdvantage
253,Web Developer Intern,Quantum Networks
254,Student iOS Developer,MakeSchool
255,Software Engineer III,Google
256,Mobile Application Prototypes Developer,"Omnyway, Inc."
257,Digital Marketing Intern,Pratham USA
258,Marketing Intern,Thinaire
259,Software Engineering Intern,Facebook
260,Intern,Slide™
261,FBU Intern,Facebook
262,Software Engineer,Snap Inc.
263,Teaching Assistant: Intro to Game Programming (C++),New York University
264,Computer Work Study Intern,New York University
265,Software Engineering Intern,Bank of America
266,Backend Software Engineer,Spotify
267,Recruiting Coordinator,E.P. Dine Inc.
268,Executive Compensation Analyst,Willis Towers Watson
269,Global Markets Talent Development Intern,Credit Suisse
270,Marketing and Business Development Summer Analyst,Label.co
271,Senior Software Engineer,NYC Human Resources Administration
272,Senior Software Developer,State of NY Metropolitan Transportation Authority
273,Web Developer,CIT Bank
274,Web Developer,Phillips 66
275,Software Developer,Altice USA
276,Data Analyst,Cablevision (now Altice USA)
277,Graduate Assistant,"Dept. of Biomedical Informatics, Stony Brook University"
278,Software Engineer,"Accenture, Banglore"
279,Associate Software Engineer,Accenture
280,Software Engineer,Meta
281,Backend Developer - Freelance,Kadwa Patel Samaj of North America
282,Sofware Engineering Intern,MongoDB
283,Software Engineering Intern,Viacom
284,Senior Java Developer Consultant,Goldman Sachs
285,Associate,BlackRock
286,Senior Java Developer Consultant,Nomura
287,Senior Java Developer Consultant,Barclays
288,Software Engineer,Infosys
289,Software Engineer,JPMorgan Chase & Co.
290,Partner,DHANTEK INC
291,Software Development Intern,JPMorgan Chase & Co.
292,Qualitative and Quanitative Researcher,NJIT Ying Wu College Of Computing
293,Software Development Intern,UPS
294,Software Development Intern,Agadia Systems Inc.
295,Senior Software Engineer,Google
296,Adjunct Lecturer,City University of New York
297,Associate Software Engineer,Amplify
298,Undergraduate Researcher,Rochester Institute of Technology
299,Associate Software Engineer,ACI Worldwide
300,IT Intern,The State Hermitage Museum
301,Software Engineer,Grubhub
302,Software Engineering Intern,Grubhub
303,Data Science Intern,Dotdash
304,Java Programming Instructor,iD Tech Camps
305,Software Engineer,The New York Times
306,Software Engineer,Crisis Text Line
307,Junior Software Engineer,Crisis Text Line
308,Instructor,Kaplan Test Prep
309,Student,Grace Hopper Academy
326,Software Engineer,BuzzFeed
327,Associate Software Engineer,BuzzFeed
328,Webmaster & Graphic Designer,Cornell Institute for Healthy Futures
329,Software Engineering Intern,automotiveMastermind Inc.
330,Software Engineering Intern,"Boyce Technologies, Inc."
331,Marketing Intern,"tec5USA, Inc."
332,COO and Co-Vice President,Literacy for Life NY
333,Research Intern,SUNY Downstate Medical Center
334,Teaching Assistant,Columbia University in the City of New York
335,Software Engineering Intern,Tencent
336,Associate Software Engineer,The New York Times
337,Mobile Developer,AMC Networks
338,iOS Developer Fellow,BuzzFeed
339,Technology Assistant,Brooklyn Heights Montessori School
340,Assistant and Afterschool Teacher,Brooklyn Heights Montessori School
341,Camp Counselor,Brooklyn Heights Montessori School
342,Assistant Event Coordinator (School Auction),Brooklyn Heights Montessori School
343,Receptionist,Brooklyn Heights Montessori School
344,Content Editing Fellow,Travel Noire
345,Global Technology Summer Analyst,Bank of America
346,Software Developer Intern,University Transportation Research Center
347,Summer Immersion Program Participant,Girls Who Code
348,Senior iOS Engineer,Fuzz
349,Mobile App Engineer,Tendigi
350,Mobile Development Intern,Tendigi
351,Assistant Director,Garden City High School
352,Research Assistant,Stony Brook University
353,Software Engineer,Zocdoc
354,Software Engineer,Deutsche Bank
355,Undergraduate Consultant,Cornell University
356,Technology Analyst Intern,Deutsche Bank
357,Design Team Member,AguaClara
358,Software Engineer,Apple
359,Senior Software Engineer,Broadway Technology
360,Software Engineer,Broadway Technology
361,Software Engineering Co-op (second stint),GE Research
362,Operating Systems Teaching Assistant,Cornell University
363,Softare Engineering Co-op (first stint),GE Research
364,Software Developer,Valogix LLC
365,Ski Instructor,West Mountain Ski Area
366,Senior Software Engineer,Peloton Interactive
367,Software Engineer II,Tripadvisor
368,Android Software Engineer Intern,TripAdvisor
369,Associate Software Engineer Trainee,Accenture
370,Software Engineer,Community.com
371,Software Engineer II,Sema4
372,Team Lead,Sema4
373,Software Engineer II,Flatiron School
374,Software Engineer,Flatiron School
375,Technical Coaching Fellow,Flatiron School
376,Session Assistant II,Memorial Sloan Kettering Cancer Center
377,Session Assistant I,Memorial Sloan Kettering Cancer Center
378,Student Sports Medicine Football Trainer,Fordham University
379,Lab Assistant,Fordham University
380,Software Engineer,Amplitude
381,Software Engineer,BlackRock
382,Computer Science Teaching Assistant,Hamilton College
383,Associate Software Engineer,JPMorgan Chase & Co.
384,Software Engineer Program - Software Engineer I ,JPMorgan Chase & Co.
385,Software Engineer Program,JPMorgan Chase & Co.
386,Teaching Assistant,Washington University in St. Louis
387,Office Intern,Habitat for Humanity in Monmouth County
388,Software Engineer,Bread
389,Software Engineering Fellow,Hack Reactor
390,Senior Software Engineer,Cheddar News
391,Software Engineer,Ethyca
392,Software Engineer,BentoBox
393,Software Engineer,InRhythm
394,Front End Engineer,Net Driven
395,Full Stack Engineer,Den Temple Engineering
396,"Data Engineer, Strategy & Analytics",Penn Foster
397,Admissions / Active Duty Military Admissions,Penn Foster
398,Developer,Money-Media
399,Developer,CampaignDrive by Pica9
400,Information Technology Intern,Columbia Investment Management Company
401,Graduate Assistant,NYU Tandon School of Engineering: Graduate School
402,Risk Management IT Intern,MILLENIUM MANAGEMENT LIMITED
403,Database Developer Intern,"mibi, Inc."
404,Software Engineer,Mindtree
405,Data Analyst,Mindtree
406,Web Design Intern,Content Yogi Solutions
407,Software Engineer,M&T Bank
408,Information Technology Student Consultant,Syracuse University
409,Undergraduate Teaching Assistant,Syracuse University
410,Brother,Kappa Theta Pi - Professional Technology Fraternity
411,Web Developer,Syracuse University Enactus
412,Outdoor Pursuits - Dune Deck Beach Club,Discovery Land Company
413,Technical Developer,WAYV Pop Up 
414,Account Executive,Rivews
415,Ocean Lifeguard,Yardarm Beach Home Owners Assn
416,Software Engineer,Shutterstock
417,Developer,TheGuarantors
418,Web Developer,Teradek
419,Sales Associate,Vince Camuto
420,West Coast Field Representative,Young Judaea
421,Sales Associate and Keyholder,Baretan
422,Associate Software Engineer,JW Player
423,Software Engineering Intern,JW Player
424,Fellow,hackNY.org
425,Junior Software Developer,BAM.ai
426,Software Engineering Intern,BAM.ai
427,Freelance Web Developer,Freelance
428,Intern,Grand Central Tech
429,Freelance Web Designer,Freelance
430,Intern,NYC Generation Technology
431,Intern,OCA-NY
432,Blockchain Security Engineering Intern,PolySwarm Pte. Ltd.
433,Machine Learning R&D Intern,"Koh Young Technology, Inc."
434,Software Engineer,"BrandYourself.com, Inc."
435,Director of Concierge Technology,"BrandYourself.com, Inc."
436,Full Stack Web Developer,Self Employed
437,Brand Manager/Technical Advisor,Broodr Inc.
438,Intern,Sony/ATV Music Publishing
439,PR Intern,LD Communications
440,Software Engineer,Squarespace
441,Software Engineer,Econify LLC
442,Head of Web Development Instruction,Pursuit
443,Web Days Instructor,Pursuit
444,Associate University Relations Specialist,University of Wisconsin-Madison
445,Associate Account Strategist,Google
446,Software Engineer,FAST
447,Software Engineer,SRC
448,Software Development Intern,Jetti Apps
449,Software Development Intern,Soleo
450,Teaching Assistant for Global and Ethical Issues in Computing,Binghamton University
451,Graduate Student Researcher,Stony Brook University
452,Computer Vision Intern,Pensa Systems
453,Software Engineer,Samsung Electronics
454,Software Development Intern,DHI
455,Software Engineer,Square
456,Co-Organizer and Instructor ,NYC Coders
457,Software Engineering Instructional Associate,Fullstack Academy
458,Fullstack Teaching Fellow,Fullstack Academy
459,Office Assistant,NY Glass
460,Visual Merchandiser,ZARA USA
461,Senior Software Engineer - AI Platforms,Bloomberg
462,Applied ML Engineer - Semantic Search,Bloomberg
463,Graduate Research Assistant,University of Illinois at Chicago
464,Graduate Teaching Assistant,University of Illinois at Chicago
465,Technology Analyst,J.P. Morgan Chase & Co.
466,Creator of RealtorCheck.com,https://realtorcheck.com
467,Software Engineer 2,Microsoft
468,Software Development Engineer,Microsoft
469,Teaching Assistant,New Mexico Tech
470,SDE Intern,Microsoft
471,Consultant,Spotify
472,Senior Software Engineer,Google NY
473,Software Engineer,Google NY
474,Computer Lab Consultant and Manager,Brown University
475,Head Teaching Assistant,Brown University
476,Research Assistant,Brown University
477,Software Engineer II,Google
478,Full Stack Developer,IBM
479,Frontend Developer,"EarthCam, Inc."
480,IT Technician,"Office of Telecommunications, Marist College"
481,Systems Administration Intern,Board of Cooperative Education Services (BOCES)
482,Technical Assistant/Troubleshooter,EED Consulting
483,Teaching Assistant,Cornell University
484,Electrical Subteam Member,Cornell University Autonomous Underwater Vehicle
485,"Explore Intern, OneDrive/SharePoint",Microsoft
486,Electrical Engineering Intern,Draper
487,Camp Counselor,Washington Township Summer Recreation
488,Senior Software Engineer,LinkedIn
489,Software Engineer,FactSet
490,Graduate Course Assistant,Columbia University in the City of New York
491,Summer Intern,ABB
492,Summer Intern,Atlas Telecom
493,Software Engineer,BARK
494,Software Developer Intern,BARK
495,Software Development Fellow,Fractured Atlas
496,Membership Associate,Fractured Atlas
497,Floor Manager,New-York Historical Society
498,Social Media Intern,Library For All
499,Marketing Manager,Incaze Boutique
500,Tutor,America Reads
501,Associate,Nomura
502,Software Engineer II,"Trepp, LLC"
503,Software Engineer I,"Trepp, LLC"
504,Software Engineer,Amazon Web Services (AWS)
505,Software Engineer,Insight
506,Senior Software Engineer,Contractor
507,Summer Technical Intern,Contractor
508,Print Shop Supervisor - Office Associate,Manhattan College
509,Summer Conference Assistant ,Manhattan College
510,Associate Software Engineer,Goldman Sachs
511,Software Engineer Analyst,Goldman Sachs
512,IT Help Desk Consultant,Rensselaer Polytechnic Institute
513,Software Engineer Intern,Goldman Sachs
514,Software Engineering Intern,BioDigital
515,Firstmark Elite Summer Fellow,FirstMark Capital
516,Summer Camp Counselor,Frost Valley YMCA
517,Bio Research Intern,American Museum of Natural History
518,Software Engineer,Ro
519,Fullstack Development Intern,BuzzFeed
520,Course Assistant for Programming with Data,Khoury College of Computer Sciences
521,Fullstack Financial Engineering Coop,Wayfair
522,Research and Development Intern,FX Digital Limited
523,Course Assistant for Object-Oriented Design,Khoury College of Computer Sciences
524,Data Analytics Intern,WHOOP
525,Software Engineer,Palantir Technologies
526,Co-Founder,Equilli Inc.
527,Founder and Software Engineer,"DropClock, LLC"
528,Software Developer,SITA
529,Software Engineer | Autocomplete,Bloomberg LP
530,Software Engineer | DT Data Intelligence,Bloomberg LP
531,Student Chapter Chair and ICPC Coach,"ACM, Association for Computing Machinery"
532,"Software Engineering Intern | Data, Internal, & Analytics",Bloomberg LP
533,Software Engineer/Product Manager Intern | Cortana,Microsoft
534,Residential Computer Consultant,Binghamton University
535,Course Assistant for CS-140: Object Oriented Programming,Binghamton University
536,Software Engineering Analyst,State of NY Metropolitan Transportation Authority
537,Computer Science Office Clerk,City College of New York
538,Software Engineer,ListenFirst Media
539,Software Engineering Intern,"Teachers College, Columbia University"
540,Research Assistant,Hunter College
541,Research Fellow,Brooklyn College
542,Software Engineer,ReturnQueen
543,Software Developer,AppRent 
544,Medical Assistant,PARK PODIATRY
545,Software Developer Intern,CACI International Inc
546,Instructor,Coding With Kids
547,Camp Counselor,Beth El Day Camp
548,Senior Software Engineer,Warby Parker
549,Frontend Developer,Warby Parker
550,Software Engineer I,Warby Parker
551,Software Engineer,Meredith Corporation
552,Software Engineer,Time Inc.
553,Financial Products Analytics and Sales,Bloomberg LP
554,Office Assistant,SUNY Geneseo Office of International Programs
555,Marketing Intern,SUNY Geneseo Office of International Programs
556,Human Resources Intern,Bloomberg LP
557,Engagement Manager,Applied Predictive Technologies
558,Business Consultant,Applied Predictive Technologies
559,Business Consultant Intern,Applied Predictive Technologies
560,Business Operations Analyst Intern,Yipit
561,Supply Chain Team Intern,"interDesign, Inc."
562,Full Stack Engineer,Consultare Inc.
563,Software Engineer,Open Source
564,IT Assistant ,Brooklyn Public Library
565,Software Engineer,Capable Health
566,Full Stack Web Developer,Site pod
567,Full Stack Developer,Adar Medical Uniforms
577,Software Engineer II,Attentive
578,Consultant,Narrativ
579,Senior Product Manager,Frame.io
580,Product Manager,Dropbox
581,Head of Product,Placemeter
582,Co-Founder,Button
583,Product Manager,Google
584,Product Manager,Jetsetter (Gilt)
585,Program Management,Microsoft
586,Senior Software Engineer,Abound
587,Software Engineer,Abound
588,Senior Software Engineer,Candid
589,Software Engineer 2,Candid
590,Software Engineer,Candid
591,Senior Software Engineer,Oath 
592,Co-op Software Engineer,Intuit
593,UI / UX Co-op,CATERTRAX
594,Lab Assistant,Rochester Institute of Technology
595,Central Engineering Intern,AOL
596,Technology Education,Sam Hill - Technology Education
597,IT Services,Delaware Valley Regional High School
598,Software Developer,InfoEd Global
599,Software Engineer,Unbound Commerce
600,IT & Data Metrics Intern,DWM Facilities Maintenance
601,Software Engineer,SquadCast.fm
602,Software Engineering Teaching Fellow,The Grace Hopper Program at Fullstack Academy
603,Freelance Producer,Hannah Bates Studio
604,Studio Artist,Hannah Bates Studio
605,Producer,Annex88
606,Artificial Intelligence (CS1410) Teaching Assistant ,Brown University
607,Software Engineering Intern,Affectiva
608,Web Application Developer,Colgate University
609,Research Assistant,Colgate University
610,Safari Core Technologies Engineer,Apple
611,Technical Team Lead,Tufts University
612,Selected Participant,VMware
613,Software Engineering Intern at Major League Baseball,"MLB Advanced Media, L.P."
614,Secretary (Tufts Chapter),National Society of Black Engineers
615,Summer Researcher,Shanghai Jiao Tong University
616,Freshman Representative,National Society of Black Engineers
617,Alumni,Girls Who Code
618,Software Engineer,Warby Parker
619,Software Engineering Student,The Grace Hopper Program at Fullstack Academy
620,English Second Language Teacher,VIPKid
621,Mathematics Tutor,Wyzant
622,Model,Wrenn Management
623,Model,SILENT Models NY
624,Research Assistant,Fordham University
625,Model,Storm Model Management
626,Model,Premier Model Management Ltd
627,Software Engineer,Spotify
628,Software Engineer,Unified
629,Support Engineer,Unified
630,Freelance Web Developer,Freelance Web Development
631,Software Engineer,Amazon
632,Software Engineer,CGI
633,Capstone Technology Lead,Johnson & Johnson
634,Senior Software Engineer,Coinbase
635,Tech Lead,Strategic Financial Solutions NY
636,Tech Lead,TMP Worldwide
637,Lead Software Developer,Summitworks Technologies
638,Volunteer Research Assistant,WING (Wireless Information Networking Group) lab
639,Software Engineer,VMware
640,Editor,Torah && Tech
641,Software Engineer,"Pivotal Software, Inc."
642,Full Stack Developer,Newtek Business Services Corp. (NASDAQ: NEWT)
643,Integration Specialist/Developer Support,Fidelity Payment Services
644,Technical Support,Fidelity Payment Services
645,Technical Coach,Flatiron School
646,Teacher,Jewish Online School
647,Software Development Engineer II,Amazon
648,Software Developer,Houlihan Lokey
649,Software Developer Intern,State of NY Metropolitan Transportation Authority
650,Graduate Research Assistant,University at Buffalo (UB)
651,Software Engineer,GE Power & Water
652,Senior Staff Software Engineer,Twitter
653,Co-founder and CTO,Spindle
654,Software Design Engineer II,Microsoft
655,Software Design Engineer (Intern),Microsoft
656,Course Staff for CS 225: Data Structures and Software Principles,University of Illinois at Urbana-Champaign
657,Course Staff for CS 173: Discrete Mathematical Structures,University of Illinois at Urbana-Champaign
658,Software Developer,National Center for Supercomputing Applications
659,Senior Software Engineer - Test,Honey
660,Software Engineer II,Shutterstock
661,SDET II,Shutterstock
662,Software Development Engineer in Test,Esri
663,Software Intern,Esri
664,Technical Intern,BAE Systems
665,Software Engineer,The Orchard
666,College Aide(Backend and Frontend Developer Intern),State of NY Metropolitan Transportation Authority
667,International Student Advisor,Brooklyn College
668,Computer Science Intern,National Great Rivers Research and Education Institute
669,Quality Assurance Engineer,Dispatch
670,Business Intelligence Analyst,GutCheck
671,Marketing Analyst,GutCheck
672,Student Tutor,Learning Effectiveness Program 
673,Customer Success Intern,CommercialTribe
674,Software Engineer,Anduril Industries
675,Head TA for Biosecurity and Bioterrorism Response,Stanford University
676,TA for Biosecurity and Bioterrorism Response,Stanford University
677,Summer Engineering Analyst,AQR Capital Management
678,Engineering Intern,Raden
679,Co CEO,Reed Innovation LLC
680,Instructor,ACTION Summer Program
681,Software Engineer,Flatiron Health
682,Software Engineer Apprentice,Flatiron Health
683,Director of BrickHack V,codeRIT
684,Software Development Engineer Intern,Amazon
685,Software Engineer Co-op,Amplify
686,AV Technician,First Unitarian Church of Rochester
687,Customer Technology Intern,UPS
688,Salesman and Racquet Stringer,Bob Lee's What A Racquet
689,Lead Software Engineer,The New York Times
690,Senior Software Engineer,The New York Times
691,Senior Data Engineer,Instagram
692,Senior Data Engineer,The New York Times
693,Data Engineer,The New York Times
694,Business Intelligence Engineer,Rent The Runway
695,Software Engineer,"Jetsetter, A Member of the Gilt Groupe"
696,"SENIOR CONSULTANT, Citi Private Banking Technology",Citigroup
697,SENIOR ENGINEER,Yahoo!
698,"SENIOR BUSINESS SYSTEMS ANALYST, Human Resources Systems",Pacific Gas & Electric
699,"SENIOR BUSINESS ANALYST / DEVELOPER, Medical Claims Review Department",Kaiser Permanente
700,"BUSINESS ANALYST / PROJECT LEAD, Merchant Banking Division","GOLDMAN SACHS, New York, NY"
701,HUMAN RESOURCES SYSTEMS CONSULTANT,Contract & Consulting Engagements
702,Senior Software Engineer,Vanguard
703,Big Data Developer,Bank of America
704,Big Data Engineer,Knowledgent
705,SDE Intern,TheTake
706,Graduate Teaching Assistant,New York University
707,Software Development Engineer,Amazon Music
708,Associate Software Engineer,Misys
709,AVP (Senior Software Engineer),Merrill Lynch
710,Senior Analyst Developer,Goldman Sachs
711,Data Engineer,JW Player
712,Web Developer,The Epoch Times
713,Research Intern,Nokia Bell Labs
714,Software Engineer,Relativity
715,Software Engineer,VerQu
716,Technical Support Intern,Florham Park Senior Center
717,Instructor,Millburn STEM Coding Club
718,Work Study Student,Fairleigh Dickinson University
719,Software Engineer,Bitly
720,Software Engineer,ListenFirst
721,Teaching Assistant,University of Virginia
722,Full Stack Web Developer Internship,"Dearest, Inc."
723,Web Developer,theCourseForum
724,Software Developer Internship ,Cybernet LLC NY
725,iOS Developer,UVA Dining Menu
726,Senior Software Engineer,Bloomberg
727,Software Engineer III,ESPN
728,Intramural Sports Supervisor,Cornell University Intramural Sports
729,Budget Management Intern,NYC Human Resources Administration
730,Grant Analyst Intern,NYC Health and Hospitals Corporation
731,Research Software Engineer,KANERAI
732,Software Engineer,Nomura
733,Teaching Assistant,Purdue University
734,Research Assistant,Purdue University
735,Software Engineer,"Philips Innovation Campus, Bangalore"
736,Web Developer,TargetingMantra
737,Software Development Engineer ,Amazon
738,Associate Consultant,Allstate India
739,Senior Software Engineer,GitHub
740,Senior Software Engineer,Vimeo
741,Software Engineer,Vimeo
742,Developer III (Senior),Flatiron School
743,Developer II,Flatiron School
744,Developer I,Flatiron School
745,Apprentice Developer,Flatiron School
746,Associate Manager,Macmillan
747,Web Production & Marketing Associate,Macmillan
748,Presidential Fellowship Research Assistant,Bucknell University
749,Presidential Fellow / ILTM Research Assistant,Bucknell University
750,Editor-in-Chief,The Bucknellian
751,Software Engineer,EnergyWatch
752,Software Engineer (Contract),HappyFunCorp
753,Full Stack Web Developer,Flatiron School
754,Residential PV Engineer,Level Solar
